# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL4VADIM, SAL, ratio, DeltaPDFs
0.8, 0.168613, 0.27861, 0.605194, 0.0565393
0.9, 0.147756, 0.278168, 0.531176, 0.0707636
0.0001, 0.0178295, 0.0851616, 0.209361, 0.359919
0.0002, 0.0158917, 0.0762688, 0.208365, 0.165538
0.0003, 0.0150255, 0.0715268, 0.210068, 0.10574
0.0004, 0.0145359, 0.0683579, 0.212643, 0.0774255
0.0005, 0.0142311, 0.0660099, 0.21559, 0.06123
0.0006, 0.014033, 0.0641625, 0.21871, 0.0509202
0.0007, 0.0139025, 0.0626492, 0.22191, 0.0438768
0.0008, 0.013818, 0.0613753, 0.22514, 0.0388454
0.0009, 0.0137664, 0.06028, 0.228374, 0.0351248
0.001, 0.0137388, 0.0593227, 0.231594, 0.0323011
0.002, 0.014042, 0.0535831, 0.262061, 0.0225217
0.003, 0.0146669, 0.0507147, 0.289204, 0.0211595
0.004, 0.0153475, 0.0489328, 0.313644, 0.0211021
0.005, 0.0160285, 0.0477167, 0.335911, 0.021342
0.006, 0.0166941, 0.0468442, 0.356375, 0.0216494
0.007, 0.0173395, 0.0462001, 0.375313, 0.0219587
0.008, 0.0179639, 0.0457187, 0.392922, 0.0222498
0.009, 0.0185679, 0.045358, 0.409364, 0.0225172
0.01, 0.0191527, 0.0450896, 0.424769, 0.0227604
0.02, 0.0241821, 0.0448852, 0.538754, 0.0242327
0.03, 0.028225, 0.0463548, 0.608891, 0.0247626
0.04, 0.0316549, 0.0482758, 0.655709, 0.0248584
0.05, 0.0346503, 0.0503041, 0.688816, 0.0247121
0.06, 0.0373127, 0.052303, 0.713394, 0.0244159
0.07, 0.0397072, 0.0542093, 0.732479, 0.0240218
0.08, 0.0418778, 0.0559935, 0.747905, 0.023561
0.09, 0.0438559, 0.0576418, 0.760836, 0.0230552
0.1, 0.0456686, 0.0591493, 0.77209, 0.0225171
0.2, 0.0574846, 0.0674049, 0.852825, 0.0168456
0.3, 0.0621877, 0.0678309, 0.916805, 0.0123015
0.4, 0.0627297, 0.0657376, 0.954243, 0.00969422
0.5, 0.0606179, 0.0642437, 0.943562, 0.00912382
0.6, 0.0568254, 0.0647464, 0.877661, 0.0100676
