# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio
0.0001, 6.10219, 5.14321, 1.18646
0.0002, 4.68545, 3.46353, 1.3528
0.0003, 4.01477, 2.74811, 1.46092
0.0004, 3.59777, 2.3317, 1.54298
0.0005, 3.3043, 2.05258, 1.60982
0.0006, 3.08232, 1.8495, 1.66657
0.0007, 2.90611, 1.69337, 1.71617
0.0008, 2.76157, 1.5688, 1.76031
0.0009, 2.63997, 1.4665, 1.80018
0.001, 2.53562, 1.38058, 1.83664
0.002, 1.94268, 0.927195, 2.09522
0.003, 1.66, 0.733686, 2.26255
0.004, 1.48315, 0.62083, 2.38898
0.005, 1.35797, 0.545031, 2.49154
0.006, 1.26277, 0.489775, 2.57828
0.007, 1.18681, 0.447209, 2.65382
0.008, 1.1242, 0.413185, 2.7208
0.009, 1.07126, 0.385191, 2.78112
0.01, 1.02563, 0.361634, 2.8361
0.02, 0.761108, 0.236297, 3.22098
0.03, 0.630138, 0.181862, 3.46493
0.04, 0.545621, 0.149627, 3.64655
0.05, 0.484191, 0.12768, 3.79222
0.06, 0.436395, 0.111487, 3.91431
0.07, 0.397495, 0.098881, 4.01994
0.08, 0.364874, 0.0887105, 4.11309
0.09, 0.336874, 0.0802748, 4.19651
0.1, 0.312448, 0.0731293, 4.27255
0.2, 0.16627, 0.0345977, 4.8058
0.3, 0.0948752, 0.018395, 5.15766
0.4, 0.0535728, 0.00983206, 5.44878
0.5, 0.0287194, 0.00501027, 5.73211
0.6, 0.0140272, 0.00231206, 6.06696
0.7, 0.00585573, 0.000893351, 6.55479
0.8, 0.00185553, 0.000245301, 7.56432
0.9, 0.000330069, 2.86758e-05, 11.5104
0.0001, 0.0533467, 0.283756, 0.188002
0.0002, 0.0587695, 0.253999, 0.231377
0.0003, 0.0629508, 0.238077, 0.264414
0.0004, 0.0663857, 0.227399, 0.291935
0.0005, 0.0693262, 0.219457, 0.315898
0.0006, 0.0719127, 0.213184, 0.337326
0.0007, 0.0742323, 0.208025, 0.356843
0.0008, 0.0763417, 0.203664, 0.374841
0.0009, 0.078281, 0.199898, 0.391604
0.001, 0.0800796, 0.196593, 0.407337
0.002, 0.0934816, 0.176321, 0.53018
0.003, 0.102665, 0.165628, 0.619853
0.004, 0.109825, 0.158566, 0.692613
0.005, 0.115761, 0.153398, 0.754641
0.006, 0.120864, 0.149385, 0.809076
0.007, 0.12536, 0.146142, 0.857798
0.008, 0.129389, 0.143449, 0.901984
0.009, 0.133047, 0.141167, 0.942475
0.01, 0.136401, 0.139202, 0.979881
0.02, 0.160328, 0.128267, 1.24995
0.03, 0.175604, 0.123702, 1.41957
0.04, 0.186786, 0.121382, 1.53883
0.05, 0.195489, 0.120111, 1.62757
0.06, 0.202497, 0.11939, 1.69609
0.07, 0.208258, 0.118965, 1.75058
0.08, 0.213051, 0.118699, 1.79489
0.09, 0.217068, 0.118508, 1.83168
0.1, 0.220443, 0.11834, 1.8628
0.2, 0.23313, 0.114496, 2.03614
0.3, 0.225634, 0.106447, 2.11968
0.4, 0.207665, 0.0973483, 2.13322
0.5, 0.182935, 0.0896619, 2.04028
0.6, 0.153408, 0.0844964, 1.81555
0.7, 0.120321, 0.0817072, 1.47258
0.8, 0.084576, 0.079757, 1.06042
0.9, 0.0469413, 0.0745, 0.630085
0.0001, 0.0533495, 0.283905, 0.187914
0.0002, 0.0587751, 0.254295, 0.231129
0.0003, 0.0629592, 0.238521, 0.263956
0.0004, 0.0663968, 0.227991, 0.291225
0.0005, 0.0693401, 0.220197, 0.3149
0.0006, 0.0719294, 0.214072, 0.336005
0.0007, 0.0742517, 0.209061, 0.355168
0.0008, 0.0763639, 0.204847, 0.372785
0.0009, 0.078306, 0.201229, 0.389139
0.001, 0.0801073, 0.198071, 0.404438
0.002, 0.0935367, 0.179264, 0.521781
0.003, 0.102747, 0.170026, 0.604302
0.004, 0.109934, 0.164408, 0.668668
0.005, 0.115897, 0.160672, 0.721326
0.006, 0.121027, 0.158079, 0.765607
0.007, 0.125549, 0.156246, 0.803539
0.008, 0.129605, 0.154952, 0.83642
0.009, 0.133289, 0.154058, 0.865189
0.01, 0.13667, 0.153469, 0.890537
0.02, 0.160853, 0.155717, 1.03298
0.03, 0.176374, 0.16332, 1.07993
0.04, 0.187791, 0.172216, 1.09044
0.05, 0.196718, 0.181272, 1.08521
0.06, 0.203941, 0.190044, 1.07312
0.07, 0.209909, 0.198336, 1.05835
0.08, 0.2149, 0.206058, 1.04291
0.09, 0.219105, 0.213177, 1.02781
0.1, 0.222662, 0.219686, 1.01355
0.2, 0.236799, 0.256165, 0.924399
0.3, 0.230324, 0.26029, 0.884872
0.4, 0.21327, 0.253919, 0.839913
0.5, 0.189669, 0.249712, 0.759551
0.6, 0.161801, 0.253343, 0.638665
0.7, 0.131204, 0.264893, 0.49531
0.8, 0.0990745, 0.27861, 0.355602
0.9, 0.0664193, 0.278168, 0.238774
0.0001, 0.024082, 0.0851616, 0.282779
0.0002, 0.0238216, 0.0762688, 0.312337
0.0003, 0.024182, 0.0715268, 0.338083
0.0004, 0.0246563, 0.0683579, 0.360695
