# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio
0.0001, 1.14764, 5.14321, 0.223138
0.0002, 1.01546, 3.46353, 0.293187
0.0003, 0.94506, 2.74811, 0.343895
0.0004, 0.897899, 2.3317, 0.385083
0.0005, 0.862814, 2.05258, 0.420355
0.0006, 0.835072, 1.8495, 0.451512
0.0007, 0.812221, 1.69337, 0.479649
0.0008, 0.792869, 1.5688, 0.505399
0.0009, 0.776124, 1.4665, 0.529236
0.001, 0.761392, 1.38058, 0.551503
0.002, 0.669872, 0.927195, 0.722472
0.003, 0.620129, 0.733686, 0.845225
0.004, 0.586234, 0.62083, 0.944275
0.005, 0.560632, 0.545031, 1.02862
0.006, 0.540104, 0.489774, 1.10276
0.007, 0.522976, 0.447209, 1.16942
0.008, 0.508292, 0.413185, 1.23018
0.009, 0.49544, 0.385191, 1.28622
0.01, 0.484008, 0.361634, 1.33839
0.02, 0.409641, 0.236297, 1.73359
0.03, 0.365916, 0.181862, 2.01205
0.04, 0.334282, 0.149627, 2.23411
0.05, 0.3092, 0.12768, 2.42168
0.06, 0.288261, 0.111487, 2.5856
0.07, 0.270188, 0.098881, 2.73245
0.08, 0.254241, 0.0887105, 2.86596
0.09, 0.239929, 0.0802748, 2.98885
0.1, 0.226948, 0.0731294, 3.10338
0.2, 0.137723, 0.0345977, 3.98069
0.3, 0.0853318, 0.018395, 4.63885
0.4, 0.0516665, 0.0098321, 5.25488
0.5, 0.0300182, 0.00501035, 5.99124
0.6, 0.016666, 0.00231219, 7.20788
0.7, 0.009045, 0.000893502, 10.1231
0.8, 0.00508335, 0.000245384, 20.7159
0.9, 0.0028929, 2.85672e-05, 101.266
0.0001, 0.0464465, 0.283756, 0.163684
0.0002, 0.0527201, 0.253999, 0.207561
0.0003, 0.0571949, 0.238077, 0.240237
0.0004, 0.060774, 0.227399, 0.267257
0.0005, 0.0637993, 0.219457, 0.290714
0.0006, 0.0664423, 0.213184, 0.311666
0.0007, 0.0688034, 0.208025, 0.330746
0.0008, 0.0709455, 0.203664, 0.348346
0.0009, 0.0729125, 0.199898, 0.364747
0.001, 0.0747355, 0.196593, 0.380153
0.002, 0.0883379, 0.176321, 0.501007
0.003, 0.0977215, 0.165628, 0.590006
0.004, 0.105088, 0.158566, 0.662741
0.005, 0.111232, 0.153398, 0.725122
0.006, 0.116543, 0.149385, 0.780151
0.007, 0.121243, 0.146142, 0.82963
0.008, 0.125473, 0.143449, 0.874689
0.009, 0.129328, 0.141167, 0.916133
0.01, 0.132875, 0.139202, 0.954552
0.02, 0.158524, 0.128267, 1.23589
0.03, 0.175234, 0.123702, 1.41658
0.04, 0.187648, 0.121382, 1.54593
0.05, 0.197433, 0.120111, 1.64375
0.06, 0.205406, 0.11939, 1.72047
0.07, 0.212038, 0.118965, 1.78235
0.08, 0.217621, 0.118699, 1.83339
0.09, 0.222359, 0.118508, 1.87632
0.1, 0.226396, 0.11834, 1.9131
0.2, 0.243495, 0.114496, 2.12667
0.3, 0.238025, 0.106447, 2.23608
0.4, 0.220736, 0.0973483, 2.26748
0.5, 0.195786, 0.0896619, 2.1836
0.6, 0.165331, 0.0844964, 1.95666
0.7, 0.130616, 0.0817073, 1.59859
0.8, 0.0922839, 0.079757, 1.15706
0.9, 0.0500739, 0.0744999, 0.672133
