# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.007, 0.110499, 0.112602, 0.0200837, 0.128436, 0.0238918
0.008, 0.110061, 0.112106, 0.0219534, 0.132368, 0.0257181
0.009, 0.109889, 0.11189, 0.0237454, 0.135934, 0.0274779
0.01, 0.109897, 0.111855, 0.0254708, 0.139201, 0.0291794
0.02, 0.11424, 0.115944, 0.0403218, 0.162433, 0.0440071
0.03, 0.120544, 0.122082, 0.0525773, 0.177216, 0.0563792
0.04, 0.126914, 0.128309, 0.0632948, 0.188019, 0.0672492
0.05, 0.133035, 0.1343, 0.0729183, 0.196418, 0.0770333
0.06, 0.138848, 0.139993, 0.08169, 0.203176, 0.085963
0.07, 0.144357, 0.145394, 0.0897613, 0.208729, 0.094186
0.08, 0.14959, 0.150527, 0.0972357, 0.213346, 0.101803
0.09, 0.15456, 0.155407, 0.104188, 0.217211, 0.108888
0.1, 0.159302, 0.160064, 0.110676, 0.220457, 0.115499
0.2, 0.197178, 0.197495, 0.156918, 0.232533, 0.162488
0.3, 0.223389, 0.223791, 0.180188, 0.225121, 0.185962
0.4, 0.241723, 0.242337, 0.188279, 0.207794, 0.19422
0.5, 0.253859, 0.254427, 0.185313, 0.18439, 0.191842
0.6, 0.261169, 0.261085, 0.173809, 0.157081, 0.181792
0.7, 0.265902, 0.264603, 0.155187, 0.127339, 0.165887
0.8, 0.272513, 0.269914, 0.129742, 0.0963102, 0.144845
0.9, 0.281874, 0.279136, 0.0957589, 0.0649624, 0.117346
0.0001, 0.24345, 0.251511, 0.000357711, 0.0247433, 0.00810638
0.0002, 0.204724, 0.211306, 0.000565232, 0.0247796, 0.00733694
0.0003, 0.184524, 0.190337, 0.000738905, 0.0252588, 0.00699444
0.0004, 0.171213, 0.176525, 0.000893747, 0.0257969, 0.00680549
0.0005, 0.161448, 0.166393, 0.00103596, 0.0263262, 0.00669313
0.0006, 0.153822, 0.15848, 0.00116888, 0.026831, 0.00662555
0.0007, 0.147611, 0.152038, 0.00129453, 0.0273085, 0.00658664
0.0008, 0.142404, 0.146638, 0.00141429, 0.0277598, 0.00656748
0.0009, 0.137944, 0.142012, 0.00152912, 0.0281869, 0.00656248
0.001, 0.134054, 0.13798, 0.00163976, 0.0285921, 0.00656798
0.002, 0.110776, 0.113856, 0.00259754, 0.0318106, 0.0068801
0.003, 0.0989127, 0.101572, 0.0034006, 0.0341478, 0.00733941
0.004, 0.0912308, 0.0936248, 0.00411711, 0.0360153, 0.00782587
0.005, 0.0856774, 0.0878817, 0.00477529, 0.0375854, 0.00831316
0.006, 0.081396, 0.0834544, 0.00539025, 0.0389477, 0.00879327
0.007, 0.0779485, 0.0798926, 0.00597129, 0.0401558, 0.0092636
0.008, 0.0750906, 0.0769394, 0.00652465, 0.0412436, 0.0097235
0.009, 0.0726668, 0.0744373, 0.00705477, 0.0422349, 0.0101731
0.01, 0.0705703, 0.0722715, 0.00756496, 0.0431468, 0.0106127
0.02, 0.0584964, 0.0598049, 0.0119478, 0.0497055, 0.014569
0.03, 0.0527395, 0.0538558, 0.0155558, 0.0539244, 0.0179608
0.04, 0.0492027, 0.0501939, 0.018706, 0.0570202, 0.0209747
0.05, 0.0467581, 0.0476557, 0.0215314, 0.0594313, 0.0237051
0.06, 0.0449461, 0.0457673, 0.0241047, 0.0613722, 0.0262074
0.07, 0.0435366, 0.0442947, 0.0264709, 0.0629661, 0.0285185
0.08, 0.0424048, 0.0431074, 0.0286612, 0.06429, 0.0306642
0.09, 0.0414704, 0.0421239, 0.0306979, 0.0653966, 0.0326634
0.1, 0.0406847, 0.0412937, 0.0325978, 0.0663235, 0.0345316
