# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0001, 0.873771, 4.91689, 0.177708, 8756.69
0.0002, 0.769729, 3.29232, 0.233795, 2919.06
0.0003, 0.714626, 2.60117, 0.274733, 1535.41
0.0004, 0.677872, 2.19921, 0.308234, 972.778
0.0005, 0.650629, 1.92994, 0.337123, 682.817
0.0006, 0.629155, 1.73413, 0.362808, 511.5
0.0007, 0.611517, 1.58364, 0.386146, 400.436
0.0008, 0.596619, 1.46363, 0.40763, 323.985
0.0009, 0.583758, 1.3651, 0.42763, 268.757
0.001, 0.572468, 1.28237, 0.446414, 227.334
0.002, 0.502941, 0.846272, 0.594302, 75.5829
0.003, 0.465674, 0.660424, 0.705114, 39.6557
0.004, 0.440528, 0.552146, 0.797847, 25.0643
0.005, 0.421678, 0.479483, 0.879443, 17.5544
0.006, 0.406655, 0.426553, 0.953351, 13.1238
0.007, 0.394181, 0.38581, 1.0217, 10.2562
0.008, 0.383532, 0.353267, 1.08567, 8.28589
0.009, 0.374243, 0.326512, 1.14618, 6.86545
0.01, 0.366005, 0.304017, 1.2039, 5.8025
0.02, 0.312846, 0.184847, 1.69246, 1.95871
0.03, 0.281734, 0.133713, 2.107, 1.09588
0.04, 0.259141, 0.103873, 2.49479, 0.770069
0.05, 0.241107, 0.0838902, 2.87408, 0.613453
0.06, 0.225932, 0.069408, 3.25513, 0.524712
0.07, 0.212728, 0.0583437, 3.64611, 0.467416
0.08, 0.200982, 0.0495871, 4.05311, 0.426632
0.09, 0.190364, 0.0425283, 4.47616, 0.395269
0.1, 0.180649, 0.0366181, 4.93334, 0.369748
0.2, 0.111802, 0.00710817, 15.7286, 0.226762
0.3, 0.0695571, -0.0025822, -26.9372, 0.15081
0.4, 0.0415626, -0.00658618, -6.31059, 0.100338
0.5, 0.0230928, -0.00820445, -2.81466, 0.0636974
0.6, 0.0114366, -0.00873329, -1.30954, 0.036463
0.7, 0.00469099, -0.0082968, -0.565398, 0.017312
0.8, 0.00135647, -0.00708425, -0.191476, 0.00576941
0.9, 0.000165953, -0.00481616, -0.0344576, 0.000807764
0.0001, 0.0347311, 0.264443, 0.131337, 0.0200391
0.0002, 0.0423363, 0.240655, 0.175921, 0.0217877
0.0003, 0.0475331, 0.227305, 0.209116, 0.0227621
0.0004, 0.0516017, 0.218136, 0.236557, 0.0234166
0.0005, 0.0549945, 0.211214, 0.260374, 0.023896
0.0006, 0.0579301, 0.205687, 0.281642, 0.0242656
0.0007, 0.0605337, 0.201105, 0.301005, 0.0245603
0.0008, 0.0628823, 0.197207, 0.318864, 0.0248006
0.0009, 0.0650286, 0.193823, 0.335504, 0.025
0.001, 0.0670101, 0.19084, 0.351132, 0.0251677
0.002, 0.08161, 0.172297, 0.473659, 0.0259623
0.003, 0.091545, 0.162362, 0.563832, 0.0261162
0.004, 0.099291, 0.15575, 0.637503, 0.0260519
0.005, 0.105724, 0.150887, 0.700679, 0.0258898
0.006, 0.111267, 0.147098, 0.756409, 0.0256785
0.007, 0.116162, 0.144028, 0.806521, 0.0254421
0.008, 0.120559, 0.141475, 0.85216, 0.0251932
0.009, 0.124561, 0.139307, 0.894147, 0.0249393
0.01, 0.12824, 0.137438, 0.933075, 0.024685
0.02, 0.154758, 0.127005, 1.21851, 0.022445
0.03, 0.171998, 0.122646, 1.40239, 0.0209285
0.04, 0.184814, 0.120445, 1.53443, 0.020059
0.05, 0.194933, 0.119256, 1.63458, 0.0197143
0.06, 0.203198, 0.118598, 1.71333, 0.019779
0.07, 0.210092, 0.118228, 1.77701, 0.0201507
0.08, 0.215918, 0.11801, 1.82966, 0.0207426
0.09, 0.220883, 0.117866, 1.87403, 0.0214853
0.1, 0.225135, 0.117739, 1.91215, 0.0223257
0.2, 0.243966, 0.11418, 2.13667, 0.0310275
0.3, 0.239699, 0.106132, 2.25849, 0.0363885
0.4, 0.223063, 0.0966638, 2.30762, 0.0382203
0.5, 0.198128, 0.0882639, 2.24472, 0.0371121
0.6, 0.166981, 0.0821249, 2.03325, 0.0335261
0.7, 0.130877, 0.0783401, 1.67062, 0.027799
0.8, 0.0906453, 0.0757975, 1.19589, 0.0201809
0.9, 0.0468744, 0.0716736, 0.653998, 0.010864
0.0001, 0.0347311, 0.264564, 0.131277, 0.0200391
0.0002, 0.0423363, 0.240902, 0.175741, 0.0217877
0.0003, 0.0475331, 0.22768, 0.208772, 0.0227621
0.0004, 0.0516017, 0.218641, 0.236011, 0.0234166
0.0005, 0.0549945, 0.211849, 0.259593, 0.023896
0.0006, 0.0579301, 0.206453, 0.280597, 0.0242656
0.0007, 0.0605337, 0.202002, 0.299668, 0.0245603
0.0008, 0.0628823, 0.198236, 0.317209, 0.0248006
0.0009, 0.0650286, 0.194984, 0.333507, 0.025
0.001, 0.0670101, 0.192134, 0.348768, 0.0251677
0.002, 0.08161, 0.17492, 0.466556, 0.0259623
0.003, 0.091545, 0.16632, 0.550414, 0.0261162
0.004, 0.099291, 0.161042, 0.616553, 0.0260519
0.005, 0.105724, 0.157511, 0.671216, 0.0258898
0.006, 0.111267, 0.155047, 0.717629, 0.0256785
0.007, 0.116162, 0.153297, 0.757755, 0.0254421
0.008, 0.120559, 0.152057, 0.792854, 0.0251932
0.009, 0.124561, 0.151196, 0.823838, 0.0249393
0.01, 0.12824, 0.150626, 0.851381, 0.024685
0.02, 0.154758, 0.15274, 1.01321, 0.022445
0.03, 0.171998, 0.160083, 1.07443, 0.0209285
0.04, 0.184814, 0.168743, 1.09524, 0.020059
0.05, 0.194933, 0.177606, 1.09756, 0.0197143
0.06, 0.203198, 0.186228, 1.09112, 0.019779
0.07, 0.210092, 0.194407, 1.08068, 0.0201507
0.08, 0.215918, 0.202048, 1.06865, 0.0207426
0.09, 0.220883, 0.209116, 1.05627, 0.0214853
0.1, 0.225135, 0.215589, 1.04428, 0.0223257
0.2, 0.243966, 0.252086, 0.967786, 0.0310275
0.3, 0.239699, 0.25574, 0.937276, 0.0363885
0.4, 0.223063, 0.247708, 0.90051, 0.0382203
0.5, 0.198128, 0.240653, 0.823291, 0.0371121
0.6, 0.166981, 0.240553, 0.694153, 0.0335261
0.7, 0.130877, 0.248442, 0.52679, 0.027799
0.8, 0.0906453, 0.260303, 0.348231, 0.0201809
0.9, 0.0468744, 0.2652, 0.176751, 0.010864
0.0001, 0.0104193, 0.0647901, 0.160817, 0.00601173
0.0002, 0.0127009, 0.061976, 0.204932, 0.00653631
0.0003, 0.0142599, 0.0598633, 0.238208, 0.00682864
0.0004, 0.0154805, 0.0582425, 0.265794, 0.00702498
0.0005, 0.0164983, 0.0569422, 0.289738, 0.00716881
0.0006, 0.017379, 0.0558634, 0.311099, 0.00727967
0.0007, 0.0181601, 0.0549455, 0.330511, 0.00736808
0.0008, 0.0188647, 0.0541497, 0.34838, 0.00744018
0.0009, 0.0195086, 0.0534495, 0.364991, 0.00750001
0.001, 0.020103, 0.0528259, 0.380552, 0.00755031
0.002, 0.024483, 0.048883, 0.500849, 0.00778868
0.003, 0.0274635, 0.0468061, 0.586751, 0.00783486
0.004, 0.0297873, 0.0454946, 0.654744, 0.00781558
0.005, 0.0317171, 0.0445979, 0.71118, 0.00776693
0.006, 0.03338, 0.0439598, 0.759329, 0.00770356
0.007, 0.0348485, 0.0434968, 0.801174, 0.00763264
0.008, 0.0361678, 0.0431602, 0.837988, 0.00755797
0.009, 0.0373683, 0.0429183, 0.870684, 0.00748179
0.01, 0.0384719, 0.0427496, 0.899936, 0.00740549
0.02, 0.0464273, 0.0430574, 1.07826, 0.0067335
0.03, 0.0515995, 0.044727, 1.15365, 0.00627855
0.04, 0.0554442, 0.0467555, 1.18583, 0.00601769
0.05, 0.05848, 0.048853, 1.19706, 0.00591428
0.06, 0.0609593, 0.0509027, 1.19757, 0.0059337
0.07, 0.0630277, 0.0528502, 1.19257, 0.00604522
0.08, 0.0647755, 0.0546701, 1.18484, 0.00622277
0.09, 0.066265, 0.0563529, 1.17589, 0.00644558
0.1, 0.0675405, 0.0578899, 1.16671, 0.00669771
0.2, 0.0731897, 0.0663386, 1.10328, 0.00930824
0.3, 0.0719097, 0.0667135, 1.07789, 0.0109165
0.4, 0.066919, 0.0642315, 1.04184, 0.0114661
0.5, 0.0594383, 0.0620346, 0.958148, 0.0111336
0.6, 0.0500942, 0.0616049, 0.813154, 0.0100578
0.7, 0.039263, 0.0631936, 0.621313, 0.00833971
0.8, 0.0271936, 0.065791, 0.413333, 0.00605428
0.9, 0.0140623, 0.0666582, 0.210961, 0.0032592
0.0001, 1.425e-32, -0.0197849, -7.20245e-31, 9.93688e-19
0.0002, 3.09692e-19, -0.0139552, -2.21918e-17, 1.20849e-18
0.0003, -2.22743e-18, -0.0114286, 1.949e-16, 1.24327e-18
0.0004, -1.80048e-18, -0.0099386, 1.8116e-16, 1.70267e-18
0.0005, -1.74565e-21, -0.00892899, 1.95504e-19, 3.99852e-19
0.0006, -8.67362e-19, -0.00818753, 1.05937e-16, 2.04541e-18
