# mu value:
3.162278
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.09, -9.17435e-18, 0, -inf
0.1, -1.56125e-17, 0, -inf
0.2, -1.66688e-17, 0, -inf
0.3, -8.55576e-18, 0, -inf
0.4, -1.46685e-17, 0, -inf
0.5, -1.08285e-17, 0, -inf
0.6, -5.77385e-17, 0, -inf
0.7, -2.94519e-17, 0, -inf
0.8, 1.81876e-17, 0, inf
0.9, -2.69443e-17, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
