# mu value:
3.162278
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0001, 9.93325, 8.80664, 1.12793, 2056.61
0.0002, 8.12207, 6.31221, 1.28672, 811.74
0.0003, 7.20379, 5.21845, 1.38045, 471.274
0.0004, 6.60847, 4.56846, 1.44654, 320.299
0.0005, 6.17663, 4.1254, 1.49722, 237.404
0.0006, 5.84217, 3.79842, 1.53805, 185.912
0.0007, 5.5715, 3.54389, 1.57214, 151.139
0.0008, 5.34581, 3.33854, 1.60124, 126.339
0.0009, 5.15324, 3.16819, 1.62656, 107.866
0.001, 4.98593, 3.02378, 1.6489, 93.6296
0.002, 3.99436, 2.23513, 1.78708, 36.9331
0.003, 3.49324, 1.87872, 1.85937, 21.4559
0.004, 3.16869, 1.66226, 1.90625, 14.6062
0.005, 2.93327, 1.51208, 1.93989, 10.8531
0.006, 2.75083, 1.39954, 1.96553, 8.52687
0.007, 2.60305, 1.31075, 1.98592, 6.95945
0.008, 2.47969, 1.23823, 2.0026, 5.84422
0.009, 2.37428, 1.17739, 2.01655, 5.01542
0.01, 2.28256, 1.12528, 2.02844, 4.37829
0.02, 1.73448, 0.828998, 2.09226, 1.8654
0.03, 1.45226, 0.685724, 2.11785, 1.19207
0.04, 1.26629, 0.594429, 2.13026, 0.895181
0.05, 1.12931, 0.528699, 2.13601, 0.730694
0.06, 1.02176, 0.477981, 2.13765, 0.626384
0.07, 0.933707, 0.437062, 2.13633, 0.55389
0.08, 0.859527, 0.403004, 2.1328, 0.500363
0.09, 0.795425, 0.373721, 2.12839, 0.458912
0.1, 0.740798, 0.349875, 2.11732, 0.425703
0.2, 0.40704, 0.205331, 1.98236, 0.261143
0.3, 0.242249, 0.134261, 1.80431, 0.178433
0.4, 0.14717, 0.0921902, 1.59637, 0.116309
0.5, 0.0892921, 0.0644474, 1.3855, 0.0687725
0.6, 0.0543438, 0.045518, 1.1939, 0.0354102
0.7, 0.0316378, 0.0300871, 1.05154, 0.0149224
0.8, 0.0169594, 0.0175667, 0.965424, 0.00477675
0.9, 0.0067424, 0.00713667, 0.944754, 0.00113666
0.0001, 0.123777, 0.372501, 0.332287, 23.5611
0.0002, 0.104394, 0.315043, 0.331366, 9.29612
0.0003, 0.09484, 0.287181, 0.330244, 5.39461
0.0004, 0.088821, 0.269496, 0.329582, 3.66446
0.0005, 0.0845799, 0.256827, 0.329327, 2.71446
0.0006, 0.0813907, 0.247096, 0.329389, 2.12434
0.0007, 0.0788854, 0.239267, 0.329696, 1.72581
0.0008, 0.0768591, 0.232769, 0.330195, 1.44159
0.0009, 0.0751825, 0.227242, 0.330847, 1.22988
0.001, 0.0737709, 0.222454, 0.331623, 1.06674
0.002, 0.0666336, 0.194301, 0.342939, 0.41781
0.003, 0.0642906, 0.180235, 0.356703, 0.242376
0.004, 0.0635262, 0.171224, 0.371013, 0.166705
0.005, 0.0634887, 0.164767, 0.385324, 0.127195
0.006, 0.0638433, 0.159834, 0.399435, 0.104489
0.007, 0.0644281, 0.1559, 0.413266, 0.0907159
0.008, 0.0651574, 0.152671, 0.426784, 0.082152
0.009, 0.0659799, 0.149961, 0.439979, 0.0767468
0.01, 0.0668636, 0.147649, 0.452855, 0.0733169
0.02, 0.0765397, 0.1352, 0.566122, 0.0688828
0.03, 0.0857181, 0.130305, 0.657826, 0.0709856
0.04, 0.0939876, 0.127957, 0.734526, 0.0722063
0.05, 0.101436, 0.126759, 0.800229, 0.0726401
0.06, 0.108177, 0.126143, 0.857578, 0.0725402
0.07, 0.114307, 0.125829, 0.908431, 0.0720797
0.08, 0.1199, 0.125669, 0.954098, 0.0713674
0.09, 0.125017, 0.125573, 0.995572, 0.0704781
0.1, 0.129716, 0.1255, 1.0336, 0.0694612
0.2, 0.159693, 0.122288, 1.30588, 0.0573351
0.3, 0.169775, 0.115236, 1.47329, 0.0468582
0.4, 0.168117, 0.10802, 1.55634, 0.0394324
0.5, 0.159282, 0.103184, 1.54367, 0.0341814
0.6, 0.14657, 0.101936, 1.43786, 0.0297967
0.7, 0.132171, 0.103883, 1.2723, 0.025324
0.8, 0.117884, 0.107449, 1.09712, 0.0204474
0.9, 0.103906, 0.10776, 0.964235, 0.0154433
0.0001, 0.123842, 0.372812, 0.332183, 23.5611
0.0002, 0.104518, 0.315636, 0.331135, 9.29612
0.0003, 0.0950215, 0.288046, 0.329883, 5.39462
0.0004, 0.0890591, 0.270626, 0.329085, 3.66448
0.0005, 0.0848738, 0.258218, 0.328691, 2.71448
0.0006, 0.0817398, 0.248744, 0.32861, 2.12436
0.0007, 0.0792891, 0.241169, 0.32877, 1.72583
0.0008, 0.0773168, 0.23492, 0.329119, 1.44162
0.0009, 0.075694, 0.229642, 0.329617, 1.2299
0.001, 0.0743357, 0.2251, 0.330234, 1.06677
0.002, 0.0677174, 0.199319, 0.339744, 0.417845
0.003, 0.0658756, 0.187516, 0.351306, 0.2424
0.004, 0.0656005, 0.180693, 0.36305, 0.166692
0.005, 0.0660431, 0.176366, 0.374466, 0.127122
0.006, 0.06687, 0.173514, 0.385387, 0.104334
0.007, 0.0679204, 0.171617, 0.395767, 0.090464
0.008, 0.0691095, 0.170387, 0.405602, 0.081794
0.009, 0.0703864, 0.169642, 0.414911, 0.0762794
0.01, 0.0717194, 0.169261, 0.42372, 0.0727406
0.02, 0.0856728, 0.174683, 0.490449, 0.0673907
0.03, 0.0988213, 0.185599, 0.532445, 0.0687597
0.04, 0.110816, 0.197435, 0.56128, 0.0693248
0.05, 0.121778, 0.209039, 0.582563, 0.0691563
0.06, 0.131844, 0.220016, 0.599247, 0.0684986
0.07, 0.141125, 0.230219, 0.613004, 0.0675198
0.08, 0.149712, 0.23961, 0.624815, 0.0663259
0.09, 0.157668, 0.248184, 0.635287, 0.0649911
0.1, 0.165088, 0.256009, 0.644853, 0.063557
