# mu value:
4.472136
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0001, 10.3229, 11.6643, 0.885001, 146.269
0.0002, 8.48196, 8.57826, 0.988774, 67.14
0.0003, 7.54615, 7.20151, 1.04786, 42.6639
0.0004, 6.93843, 6.37386, 1.08858, 30.9655
0.0005, 6.49701, 5.80469, 1.11927, 24.1802
0.0006, 6.15478, 5.38161, 1.14367, 19.7787
0.0007, 5.87756, 5.05029, 1.1638, 16.6988
0.0008, 5.64622, 4.78159, 1.18083, 14.4339
0.0009, 5.44868, 4.55766, 1.1955, 12.701
0.001, 5.27695, 4.36705, 1.20836, 11.3339
0.002, 4.25667, 3.31128, 1.28551, 5.46521
0.003, 3.73904, 2.82419, 1.32393, 3.64703
0.004, 3.40288, 2.52467, 1.34785, 2.77344
0.005, 3.1585, 2.315, 1.36436, 2.2624
0.006, 2.96879, 2.15683, 1.37646, 1.92715
0.007, 2.81487, 2.03136, 1.38571, 1.6895
0.008, 2.6862, 1.92843, 1.39295, 1.51212
0.009, 2.57613, 1.84174, 1.39875, 1.37424
0.01, 2.48025, 1.76724, 1.40346, 1.26365
0.02, 1.90505, 1.33907, 1.42267, 0.751184
0.03, 1.60727, 1.12876, 1.42392, 0.562511
0.04, 1.41047, 0.993295, 1.41999, 0.458524
0.05, 1.26524, 0.894828, 1.41395, 0.390652
0.06, 1.15108, 0.818169, 1.40689, 0.341984
0.07, 1.05752, 0.755768, 1.39926, 0.304866
0.08, 0.978615, 0.703367, 1.39133, 0.275377
0.09, 0.910621, 0.658352, 1.38318, 0.251194
0.1, 0.85208, 0.6203, 1.37366, 0.230882
0.2, 0.493653, 0.383399, 1.28757, 0.121052
0.3, 0.315832, 0.262547, 1.20296, 0.0705405
0.4, 0.211381, 0.188601, 1.12079, 0.0406567
0.5, 0.145546, 0.138833, 1.04835, 0.0225422
0.6, 0.10165, 0.102573, 0.991001, 0.0123108
0.7, 0.0702165, 0.0733793, 0.956897, 0.00678834
0.8, 0.0447847, 0.0474737, 0.943358, 0.00361205
0.9, 0.021511, 0.0227182, 0.94686, 0.00137318
0.0001, 0.330271, 0.581079, 0.568375, 3.10452
