# mu value:
3.162278
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0002, 0.181177, 0.227955, 0.794791, 1.17131
0.0003, 0.162315, 0.198368, 0.818253, 0.746025
0.0004, 0.150071, 0.180285, 0.832411, 0.542904
0.0005, 0.141191, 0.167691, 0.841972, 0.425184
0.0006, 0.134321, 0.158233, 0.848879, 0.348886
0.0007, 0.12877, 0.150764, 0.854115, 0.295552
0.0008, 0.12415, 0.144662, 0.858209, 0.25637
0.0009, 0.120218, 0.139545, 0.861495, 0.226426
0.001, 0.116809, 0.135167, 0.864188, 0.202829
0.002, 0.0968981, 0.110518, 0.876763, 0.102143
0.003, 0.0871883, 0.098978, 0.880886, 0.0715077
0.004, 0.0811395, 0.0919041, 0.882871, 0.0571046
0.005, 0.0769275, 0.0870166, 0.884056, 0.0488808
0.006, 0.0737996, 0.0834017, 0.88487, 0.043624
0.007, 0.0713748, 0.0806055, 0.885484, 0.0399968
0.008, 0.069441, 0.0783783, 0.885973, 0.0373627
0.009, 0.0678647, 0.0765644, 0.886374, 0.0353705
0.01, 0.0665584, 0.0750623, 0.886709, 0.0338151
0.02, 0.0605242, 0.0681729, 0.887804, 0.0272875
0.03, 0.0591818, 0.0667487, 0.886635, 0.0251553
0.04, 0.0592691, 0.0669938, 0.884695, 0.023905
0.05, 0.0599416, 0.067901, 0.882778, 0.0229435
0.06, 0.0608765, 0.0690782, 0.88127, 0.0221029
0.07, 0.0619246, 0.0703423, 0.880333, 0.0213228
0.08, 0.0630107, 0.0716022, 0.88001, 0.0205788
0.09, 0.0640876, 0.0728014, 0.880307, 0.0198621
0.1, 0.0651539, 0.0739449, 0.881114, 0.0191593
0.2, 0.0729727, 0.0803317, 0.908392, 0.0132322
0.3, 0.0767226, 0.0815685, 0.940591, 0.00943977
0.4, 0.0788007, 0.0828226, 0.951439, 0.00791403
0.5, 0.0808978, 0.0867091, 0.932979, 0.00813841
0.6, 0.0837761, 0.0937048, 0.894042, 0.00920925
0.7, 0.0869167, 0.102052, 0.851692, 0.0104985
0.8, 0.0875787, 0.107101, 0.817721, 0.0116587
