# mu value:
1.300000
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0001, 1.93606, 4.91689, 0.393757, 189.74
0.0002, 1.66747, 3.29232, 0.506474, 86.7358
0.0003, 1.52781, 2.60117, 0.587354, 54.8761
0.0004, 1.43572, 2.19921, 0.652833, 39.6489
0.0005, 1.36804, 1.92994, 0.708852, 30.8171
0.0006, 1.31507, 1.73413, 0.758343, 25.088
0.0007, 1.2718, 1.58364, 0.803084, 21.0796
0.0008, 1.23543, 1.46363, 0.844088, 18.132
0.0009, 1.20417, 1.3651, 0.882114, 15.8772
0.001, 1.17684, 1.28237, 0.917707, 14.0985
0.002, 1.01084, 0.846272, 1.19447, 6.47541
0.003, 0.92367, 0.660424, 1.3986, 4.13184
0.004, 0.865646, 0.552146, 1.56778, 3.02071
0.005, 0.822607, 0.479483, 1.71561, 2.3824
0.006, 0.788607, 0.426553, 1.84879, 1.97277
0.007, 0.76059, 0.38581, 1.97141, 1.68946
0.008, 0.736832, 0.353267, 2.08576, 1.48363
0.009, 0.716235, 0.326512, 2.19359, 1.32808
0.01, 0.69807, 0.304017, 2.29615, 1.20687
0.02, 0.583367, 0.184847, 3.15595, 0.708963
0.03, 0.518465, 0.133713, 3.87744, 0.561803
0.04, 0.472442, 0.103873, 4.54826, 0.488228
0.05, 0.436381, 0.0838902, 5.20182, 0.441335
0.06, 0.406498, 0.069408, 5.85664, 0.407225
0.07, 0.380824, 0.0583437, 6.52724, 0.380355
0.08, 0.358236, 0.0495871, 7.22438, 0.35813
0.09, 0.338011, 0.0425283, 7.9479, 0.339109
0.1, 0.319663, 0.0366181, 8.72966, 0.322432
0.2, 0.193422, 0.00710817, 27.2112, 0.215534
0.3, 0.118759, -0.0025822, -45.9913, 0.150569
0.4, 0.0703007, -0.00658618, -10.674, 0.101695
0.5, 0.0387773, -0.00820445, -4.72637, 0.0635974
0.6, 0.0190907, -0.00873329, -2.18597, 0.035174
0.7, 0.00779129, -0.0082968, -0.939071, 0.0159746
0.8, 0.00224319, -0.00708425, -0.316644, 0.00507298
0.9, 0.000273386, -0.00481616, -0.0567644, 0.000676551
0.0001, 0.00465355, 0.264443, 0.0175975, 0.0332368
0.0002, 0.0066091, 0.240655, 0.027463, 0.0380328
0.0003, 0.00811455, 0.227305, 0.035699, 0.0411286
0.0004, 0.00938641, 0.218136, 0.04303, 0.0434615
0.0005, 0.0105086, 0.211214, 0.0497533, 0.0453503
0.0006, 0.0115242, 0.205687, 0.0560279, 0.0469452
0.0007, 0.0124591, 0.201105, 0.0619534, 0.0483304
0.0008, 0.01333, 0.197207, 0.0675938, 0.049557
0.0009, 0.0141484, 0.193823, 0.0729964, 0.0506594
0.001, 0.014923, 0.19084, 0.0781961, 0.0516618
0.002, 0.0211856, 0.172297, 0.12296, 0.0586127
0.003, 0.025998, 0.162362, 0.160123, 0.062925
0.004, 0.0300554, 0.15575, 0.192972, 0.0660601
0.005, 0.0336276, 0.150887, 0.222866, 0.0685131
0.006, 0.0368537, 0.147098, 0.250538, 0.0705166
0.007, 0.0398166, 0.144028, 0.27645, 0.0722009
0.008, 0.0425701, 0.141475, 0.300903, 0.0736445
0.009, 0.0451518, 0.139307, 0.324117, 0.0749006
0.01, 0.0475894, 0.137438, 0.346261, 0.0760061
0.02, 0.067045, 0.127005, 0.527892, 0.0824929
0.03, 0.0816047, 0.122646, 0.665365, 0.0851499
0.04, 0.0935428, 0.120445, 0.776646, 0.0861726
0.05, 0.103751, 0.119256, 0.869985, 0.0862945
0.06, 0.112691, 0.118598, 0.950192, 0.0858557
0.07, 0.120644, 0.118228, 1.02044, 0.0850441
0.08, 0.127792, 0.11801, 1.08289, 0.0839723
0.09, 0.134264, 0.117866, 1.13913, 0.0827151
0.1, 0.140155, 0.117739, 1.19039, 0.0813241
0.2, 0.177803, 0.11418, 1.55721, 0.0651086
0.3, 0.191767, 0.106132, 1.80687, 0.050477
0.4, 0.191098, 0.0966638, 1.97694, 0.0398464
0.5, 0.179817, 0.0882639, 2.03727, 0.0332404
0.6, 0.160299, 0.0821249, 1.9519, 0.0294737
0.7, 0.134178, 0.0783401, 1.71277, 0.0269782
0.8, 0.102691, 0.0757975, 1.35481, 0.0248023
0.9, 0.0668378, 0.0716736, 0.93253, 0.0232086
0.0001, 0.00466179, 0.264564, 0.0176207, 0.0332301
0.0002, 0.00662557, 0.240902, 0.0275032, 0.0380193
0.0003, 0.00813926, 0.22768, 0.0357487, 0.0411083
0.0004, 0.00941934, 0.218641, 0.0430813, 0.0434344
0.0005, 0.0105497, 0.211849, 0.0497984, 0.0453164
