# mu value:
1.414214
# num_x_vals
36
# x, INITIALPDFS_SAL3, SAL, ratio, DeltaPDFs
0.0002, 0.0238216, 0.0762688, 0.312337, 3723.59
0.0003, 0.024182, 0.0715268, 0.338082, 1368.18
0.0004, 0.0246563, 0.0683579, 0.360694, 671.403
0.0005, 0.0251468, 0.0660099, 0.380955, 386.66
0.0006, 0.0256265, 0.0641625, 0.3994, 246.566
0.0007, 0.0260871, 0.0626492, 0.416399, 168.293
0.0008, 0.0265268, 0.0613753, 0.432207, 120.961
0.0009, 0.0269462, 0.06028, 0.447017, 90.3948
0.001, 0.0273463, 0.0593227, 0.460975, 69.6224
0.002, 0.0305745, 0.0535831, 0.570601, 12.5124
0.003, 0.0329525, 0.0507147, 0.649763, 4.58037
0.004, 0.0348656, 0.0489328, 0.712519, 2.23927
0.005, 0.0364811, 0.0477167, 0.764535, 1.28477
0.006, 0.0378873, 0.0468442, 0.808794, 0.816256
0.007, 0.0391375, 0.0462001, 0.847131, 0.555105
0.008, 0.0402657, 0.0457187, 0.880727, 0.397583
0.009, 0.0412958, 0.045358, 0.910441, 0.296121
0.01, 0.0422448, 0.0450896, 0.936908, 0.227358
0.02, 0.0491125, 0.0448852, 1.09418, 0.0407922
0.03, 0.0535692, 0.0463548, 1.15564, 0.0169025
0.04, 0.0568612, 0.0482758, 1.17784, 0.0112156
0.05, 0.0594405, 0.0503041, 1.18162, 0.00973733
0.06, 0.0615287, 0.052303, 1.17639, 0.00952319
0.07, 0.0632539, 0.0542093, 1.16685, 0.00976253
0.08, 0.0646958, 0.0559935, 1.15542, 0.0101892
0.09, 0.0659095, 0.0576418, 1.14343, 0.0106951
0.1, 0.0669342, 0.0591493, 1.13161, 0.0112305
0.2, 0.070915, 0.0674049, 1.05207, 0.0157245
0.3, 0.0688403, 0.0678309, 1.01488, 0.0179388
0.4, 0.0636329, 0.0657376, 0.967983, 0.0183884
0.5, 0.0564628, 0.0642436, 0.878885, 0.0174933
0.6, 0.0479849, 0.0647464, 0.741121, 0.0155195
0.7, 0.038637, 0.0672556, 0.57448, 0.0126486
0.8, 0.028756, 0.0703262, 0.408895, 0.00901719
0.9, 0.0186273, 0.0698726, 0.266589, 0.00474258
0.0001, 0.0115427, 1.29096e-07, 89411.2, 20642.4
0.0002, 0.00884949, 9.77822e-08, 90502.1, 3723.59
0.0003, 0.00757515, 8.25362e-08, 91779.7, 1368.18
0.0004, 0.00678342, 7.29189e-08, 93027, 671.404
0.0005, 0.00622677, 6.60915e-08, 94214.3, 386.661
0.0006, 0.00580624, 6.08996e-08, 95341.1, 246.567
0.0007, 0.00547285, 5.67642e-08, 96413.6, 168.294
0.0008, 0.00519981, 5.33657e-08, 97437.3, 120.962
0.0009, 0.00497048, 5.05038e-08, 98418, 90.3956
0.001, 0.00477405, 4.80476e-08, 99360.8, 69.6232
0.002, 0.00366945, 3.4176e-08, 107369, 12.513
0.003, 0.003158, 2.77301e-08, 113883, 4.58091
0.004, 0.00284951, 2.38251e-08, 119601, 2.2397
0.005, 0.00264034, 2.11541e-08, 124815, 1.28509
0.006, 0.00248894, 1.91933e-08, 129678, 0.816469
0.007, 0.00237466, 1.76832e-08, 134289, 0.555212
0.008, 0.00228615, 1.64824e-08, 138702, 0.397584
0.009, 0.00221636, 1.55033e-08, 142960, 0.296014
0.01, 0.00216068, 1.46893e-08, 147092, 0.22714
0.02, 0.00197337, 1.0712e-08, 184221, 0.0393153
0.03, 0.00203801, 9.40618e-09, 216667, 0.013871
0.04, 0.00218329, 8.89074e-09, 245569, 0.00655995
0.05, 0.00236291, 8.70741e-09, 271367, 0.00367227
0.06, 0.00255818, 8.6878e-09, 294456, 0.00230884
0.07, 0.00275988, 8.74753e-09, 315504, 0.00158395
0.08, 0.00296308, 8.85709e-09, 334544, 0.00117003
0.09, 0.00316471, 8.98962e-09, 352041, 0.000918449
0.1, 0.00336325, 9.03984e-09, 372048, 0.000757223
0.2, 0.00506332, 1.04007e-08, 486827, 0.000330538
0.3, 0.00633213, 1.10611e-08, 572467, 0.000223331
0.4, 0.00750974, 1.06928e-08, 702318, 0.000148945
0.5, 0.00899445, 9.28831e-09, 968362, 8.80812e-05
0.6, 0.0111971, 6.39936e-09, 1.74972e+06, 4.32173e-05
0.7, 0.0145134, 4.9647e-09, 2.92332e+06, 1.59836e-05
0.8, 0.0193317, 1.17578e-08, 1.64416e+06, 3.60433e-06
0.9, 0.0259707, 3.90806e-08, 664543, 2.50265e-07
0.0001, -2.60209e-18, -2.77556e-17, 0.09375, 2.72848e-12
0.0002, -4.30801e-18, -1.04358e-17, 0.41281, 2.87752e-13
0.0003, -1.73233e-18, -1.60103e-17, 0.108201, 7.84547e-14
0.0004, -4.39822e-19, -2.03506e-17, 0.0216123, 1.07777e-15
0.0005, -2.61963e-18, -3.54403e-18, 0.739165, 2.83923e-14
0.0006, -6.08376e-19, -8.33082e-18, 0.0730271, 1.28192e-14
0.0007, -4.31797e-18, -1.06551e-17, 0.40525, 2.0825e-14
0.0008, -2.55452e-18, -6.93998e-18, 0.368088, 1.98189e-14
0.0009, -5.08564e-18, -9.01747e-18, 0.563976, 4.96767e-15
