# mu value:
4.472136
# num_x_vals
36
# x, INITIALPDFS_SAL4, SAL, ratio, DeltaPDFs
0.0001, 13.1881, 10.8833, 1.21177, 1906.49
0.0002, 10.6396, 7.92181, 1.34308, 752.479
0.0003, 9.35964, 6.60781, 1.41645, 436.877
0.0004, 8.53494, 5.82074, 1.4663, 296.931
0.0005, 7.93952, 5.28099, 1.50341, 220.094
0.0006, 7.48015, 4.88069, 1.5326, 172.367
0.0007, 7.1096, 4.5678, 1.55646, 140.137
0.0008, 6.80151, 4.31446, 1.57645, 117.152
0.0009, 6.53929, 4.10362, 1.59354, 100.03
0.001, 6.31199, 3.9244, 1.6084, 86.836
0.002, 4.97601, 2.93595, 1.69486, 34.2937
0.003, 4.30928, 2.48272, 1.73571, 19.9525
0.004, 3.88112, 2.20502, 1.76013, 13.6057
0.005, 3.57258, 2.01111, 1.77642, 10.1279
0.006, 3.33478, 1.8651, 1.78799, 7.97194
0.007, 3.14305, 1.74945, 1.79659, 6.51888
0.008, 2.98366, 1.65469, 1.80316, 5.48463
0.009, 2.84798, 1.57497, 1.80827, 4.71566
0.01, 2.73032, 1.50653, 1.81233, 4.12419
0.02, 2.03609, 1.11458, 1.82677, 1.78291
0.03, 1.68574, 0.923454, 1.82548, 1.1472
0.04, 1.45816, 0.801251, 1.81986, 0.862717
0.05, 1.29247, 0.713141, 1.81236, 0.703054
0.06, 1.16366, 0.645126, 1.80378, 0.600796
0.07, 1.05914, 0.59027, 1.79434, 0.529225
0.08, 0.971761, 0.544613, 1.78431, 0.476113
0.09, 0.896849, 0.505506, 1.77416, 0.434848
0.1, 0.833817, 0.473819, 1.75978, 0.401706
0.2, 0.454642, 0.279793, 1.62492, 0.236674
0.3, 0.272849, 0.184303, 1.48044, 0.155392
0.4, 0.169494, 0.127456, 1.32982, 0.0974154
0.5, 0.10653, 0.0896009, 1.18894, 0.0555056
0.6, 0.0679616, 0.0634661, 1.07083, 0.0277102
0.7, 0.0414398, 0.0418733, 0.989648, 0.0115562
0.8, 0.0230074, 0.0242721, 0.947894, 0.00394098
0.9, 0.00920929, 0.00970043, 0.949369, 0.00106767
0.0001, 0.19148, 0.420139, 0.455753, 29.1041
0.0002, 0.159005, 0.349466, 0.454995, 11.4834
0.0003, 0.142883, 0.315741, 0.452532, 6.66429
0.0004, 0.132638, 0.294546, 0.450315, 4.52732
0.0005, 0.12535, 0.279471, 0.448528, 3.35398
0.0006, 0.119814, 0.267957, 0.447138, 2.62515
0.0007, 0.115418, 0.258736, 0.446084, 2.13295
0.0008, 0.111822, 0.25111, 0.44531, 1.78194
0.0009, 0.108811, 0.244647, 0.444768, 1.52047
0.001, 0.106245, 0.239064, 0.444421, 1.31899
0.002, 0.0923668, 0.206549, 0.447191, 0.517236
0.003, 0.0867083, 0.190513, 0.455131, 0.299745
0.004, 0.0838442, 0.180315, 0.464988, 0.205059
0.005, 0.082314, 0.173046, 0.475676, 0.154757
0.006, 0.0815333, 0.167514, 0.486724, 0.12506
0.007, 0.0812145, 0.163116, 0.497894, 0.106375
0.008, 0.0812022, 0.159516, 0.509055, 0.0942117
0.009, 0.0814012, 0.156501, 0.520133, 0.0861023
0.01, 0.0817508, 0.153932, 0.531083, 0.0806115
0.02, 0.0884423, 0.14018, 0.630921, 0.0693107
0.03, 0.0962618, 0.134804, 0.714087, 0.0702344
0.04, 0.103714, 0.132226, 0.784369, 0.070988
0.05, 0.110599, 0.130907, 0.844863, 0.0711409
0.06, 0.116914, 0.130225, 0.897785, 0.0708379
0.07, 0.122701, 0.129876, 0.944755, 0.0702183
0.08, 0.128005, 0.129699, 0.986937, 0.0693768
0.09, 0.132867, 0.129599, 1.02522, 0.0683808
0.1, 0.137338, 0.129531, 1.06027, 0.0672755
0.2, 0.165449, 0.126513, 1.30777, 0.0548697
0.3, 0.174025, 0.119949, 1.45082, 0.0446003
0.4, 0.171423, 0.113567, 1.50944, 0.0374212
0.5, 0.162532, 0.109919, 1.47865, 0.032272
0.6, 0.150957, 0.110261, 1.36909, 0.0278615
0.7, 0.138927, 0.114073, 1.21787, 0.0233452
0.8, 0.128164, 0.119693, 1.07077, 0.0184951
0.9, 0.118027, 0.121712, 0.969725, 0.0135193
0.0001, 0.191572, 0.420527, 0.455551, 29.1041
0.0002, 0.159181, 0.350198, 0.454546, 11.4834
0.0003, 0.14314, 0.316802, 0.451828, 6.6643
0.0004, 0.132974, 0.295924, 0.44935, 4.52733
0.0005, 0.125763, 0.281161, 0.447301, 3.35399
0.0006, 0.120303, 0.269952, 0.445647, 2.62517
0.0007, 0.115983, 0.261031, 0.444326, 2.13297
0.0008, 0.112462, 0.253702, 0.443282, 1.78197
0.0009, 0.109525, 0.247532, 0.442469, 1.5205
0.001, 0.107032, 0.242237, 0.441848, 1.31902
0.002, 0.0938643, 0.212488, 0.441739, 0.517282
0.003, 0.0888871, 0.199063, 0.446527, 0.299785
0.004, 0.0866851, 0.191372, 0.452967, 0.205072
0.005, 0.0858022, 0.186529, 0.459993, 0.154719
0.006, 0.0856567, 0.183357, 0.467159, 0.124949
0.007, 0.0859627, 0.181261, 0.474249, 0.106173
0.008, 0.0865661, 0.179912, 0.481159, 0.0939057
0.009, 0.0873725, 0.179103, 0.487834, 0.0856839
0.01, 0.0883218, 0.178698, 0.494252, 0.080077
0.02, 0.100687, 0.184768, 0.544937, 0.0677472
0.03, 0.113732, 0.19672, 0.578141, 0.0678686
0.04, 0.126062, 0.209567, 0.601536, 0.0679242
0.05, 0.13753, 0.222096, 0.619237, 0.0674459
0.06, 0.148168, 0.233904, 0.633458, 0.0665649
0.07, 0.158043, 0.244854, 0.64546, 0.065413
0.08, 0.167221, 0.254916, 0.655984, 0.064081
0.09, 0.175751, 0.264096, 0.665481, 0.0626346
0.1, 0.183736, 0.272487, 0.674293, 0.0611098
0.2, 0.239262, 0.321254, 0.744774, 0.0463456
0.3, 0.267013, 0.33528, 0.796387, 0.0368258
0.4, 0.281891, 0.341424, 0.825632, 0.0331857
0.5, 0.293829, 0.353471, 0.83127, 0.0335314
0.6, 0.310798, 0.377925, 0.82238, 0.03595
0.7, 0.336544, 0.413417, 0.814054, 0.0391842
0.8, 0.37284, 0.453519, 0.822104, 0.0423022
0.9, 0.410634, 0.47642, 0.861916, 0.0427636
0.0001, 0.189422, 0.22868, 0.828331, 29.1056
0.0002, 0.155963, 0.178135, 0.875535, 11.4854
0.0003, 0.139062, 0.1552, 0.896017, 6.66666
0.0004, 0.128148, 0.141254, 0.907212, 4.52997
0.0005, 0.120262, 0.131582, 0.91397, 3.35685
0.0006, 0.114179, 0.124344, 0.918252, 2.62819
0.0007, 0.109277, 0.118646, 0.92103, 2.13614
0.0008, 0.105206, 0.114006, 0.922814, 1.78524
0.0009, 0.101747, 0.110125, 0.923922, 1.52387
0.001, 0.0987538, 0.106813, 0.924552, 1.32246
0.002, 0.081372, 0.0883777, 0.92073, 0.520594
0.003, 0.0729728, 0.0799445, 0.912793, 0.301948
0.004, 0.0677764, 0.0748911, 0.904999, 0.205363
0.005, 0.064181, 0.0714821, 0.897862, 0.152592
0.006, 0.0615284, 0.0690251, 0.891393, 0.120016
0.007, 0.0594862, 0.0671773, 0.885511, 0.098185
0.008, 0.0578698, 0.0657509, 0.880137, 0.0827597
0.009, 0.0565632, 0.0646292, 0.875197, 0.0713944
0.01, 0.0554904, 0.0637359, 0.87063, 0.0627471
0.02, 0.0508458, 0.0606678, 0.838101, 0.0307931
0.03, 0.0502609, 0.0613894, 0.818723, 0.0239933
0.04, 0.0509107, 0.0631445, 0.806257, 0.0215488
0.05, 0.0520607, 0.0652241, 0.798182, 0.0203011
0.06, 0.0534289, 0.067363, 0.793148, 0.0194716
0.07, 0.0548835, 0.069444, 0.790327, 0.0188143
0.08, 0.0563575, 0.0714135, 0.789172, 0.0182384
0.09, 0.0578118, 0.0732447, 0.789298, 0.0177066
0.1, 0.0592357, 0.0749402, 0.79044, 0.0172006
0.2, 0.0699983, 0.0846919, 0.826505, 0.0130944
0.3, 0.0754318, 0.0869504, 0.867527, 0.010684
0.4, 0.0779629, 0.0876597, 0.889381, 0.00973485
0.5, 0.0797701, 0.0900532, 0.885811, 0.00964816
0.6, 0.0827612, 0.0956734, 0.865039, 0.00997036
0.7, 0.0878653, 0.104138, 0.843737, 0.0104601
0.8, 0.0955672, 0.113827, 0.83958, 0.0109439
0.9, 0.103688, 0.119284, 0.869255, 0.0108283
0.0001, 0.188596, 0.146574, 1.2867, 29.1063
0.0002, 0.154768, 0.104614, 1.47942, 11.4863
0.0003, 0.137583, 0.0862639, 1.59491, 6.6677
0.0004, 0.126432, 0.075388, 1.67708, 4.53114
0.0005, 0.118339, 0.0679952, 1.7404, 3.35814
0.0006, 0.112071, 0.0625554, 1.79154, 2.62958
0.0007, 0.106999, 0.0583343, 1.83425, 2.13762
0.0008, 0.102773, 0.0549401, 1.87064, 1.7868
0.0009, 0.099169, 0.0521342, 1.90219, 1.5255
0.001, 0.0960406, 0.0497644, 1.9299, 1.32416
0.002, 0.0776179, 0.037078, 2.09337, 0.522748
0.003, 0.0684907, 0.0316487, 2.16409, 0.30434
0.004, 0.0627315, 0.0285665, 2.19598, 0.207863
0.005, 0.0586803, 0.0265941, 2.20652, 0.15511
0.006, 0.0556485, 0.0252507, 2.20384, 0.122481
0.007, 0.0532852, 0.024303, 2.19253, 0.100541
0.008, 0.0513939, 0.0236255, 2.17535, 0.0849602
0.009, 0.0498501, 0.023141, 2.15419, 0.0734007
