# mu values:
4.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.4, 0.108696, 0.11296, 0.962251
0.5, 0.137507, 0.142743, 0.963316
0.6, 0.175568, 0.183232, 0.958173
0.7, 0.219966, 0.230724, 0.953373
0.8, 0.259981, 0.269884, 0.963305
0.9, 0.261722, 0.25948, 1.00864
0.0001, -8.32667e-17, 0, -inf
0.0002, 2.93176e-17, 0, inf
0.0003, -4.66662e-17, 0, -inf
0.0004, -4.59763e-17, 0, -inf
0.0005, -5.42201e-19, 0, -inf
0.0006, -7.79255e-17, 0, -inf
0.0007, -1.59291e-17, 0, -inf
0.0008, -2.61341e-17, 0, -inf
0.0009, -2.44049e-17, 0, -inf
0.001, -3.46945e-17, 0, -inf
0.002, -1.36304e-17, 0, -inf
0.003, -1.80573e-17, 0, -inf
0.004, -3.29239e-17, 0, -inf
0.005, -2.73777e-17, 0, -inf
0.006, -2.44185e-17, 0, -inf
0.007, -1.70867e-17, 0, -inf
0.008, -2.73323e-17, 0, -inf
0.009, -3.82586e-17, 0, -inf
0.01, -1.38778e-17, 0, -inf
0.02, -2.04322e-17, 0, -inf
0.03, -1.32551e-17, 0, -inf
0.04, -3.32459e-18, 0, -inf
0.05, -6.96086e-18, 0, -inf
0.06, -1.70113e-18, 0, -inf
0.07, -1.28122e-17, 0, -inf
0.08, -1.90006e-17, 0, -inf
0.09, -8.90377e-18, 0, -inf
0.1, -1.38778e-17, 0, -inf
0.2, -6.25057e-18, 0, -inf
0.3, -2.29247e-17, 0, -inf
0.4, -1.14784e-17, 0, -inf
0.5, -2.4035e-17, 0, -inf
0.6, -5.9851e-17, 0, -inf
0.7, -3.04856e-17, 0, -inf
0.8, -3.58611e-17, 0, -inf
0.9, -2.2682e-17, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
