# mu values:
4.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.3, 0.0603661, 0.0601684, 1.00329
0.4, 0.0614716, 0.0613048, 1.00272
0.5, 0.0654316, 0.0654228, 1.00013
0.6, 0.0726598, 0.0726031, 1.00078
0.7, 0.0827861, 0.0827771, 1.00011
0.8, 0.0947412, 0.0949587, 0.99771
0.9, 0.103799, 0.104871, 0.989774
0.0001, 0.635807, 0.639487, 0.994245
0.0002, 0.494404, 0.4971, 0.994578
0.0003, 0.424918, 0.426997, 0.995131
0.0004, 0.380818, 0.382482, 0.995648
0.0005, 0.349355, 0.350704, 0.996153
0.0006, 0.325323, 0.326419, 0.99664
0.0007, 0.306103, 0.307006, 0.997058
0.0008, 0.290247, 0.290983, 0.997469
0.0009, 0.276845, 0.277445, 0.997838
0.001, 0.265302, 0.265786, 0.998178
0.002, 0.199112, 0.198983, 1.00065
0.003, 0.167426, 0.167075, 1.0021
0.004, 0.147726, 0.147291, 1.00295
0.005, 0.133929, 0.133465, 1.00348
0.006, 0.123574, 0.123104, 1.00381
0.007, 0.115431, 0.114977, 1.00395
0.008, 0.108826, 0.108394, 1.00399
0.009, 0.103336, 0.10294, 1.00385
0.01, 0.0986869, 0.0983111, 1.00382
0.02, 0.0741646, 0.0740103, 1.00208
0.03, 0.0646784, 0.0646008, 1.0012
0.04, 0.0601883, 0.0600897, 1.00164
0.05, 0.0580382, 0.0578626, 1.00303
0.06, 0.0571726, 0.0568862, 1.00504
0.07, 0.0570746, 0.056667, 1.00719
0.08, 0.0574655, 0.0569367, 1.00929
0.09, 0.0581697, 0.0575267, 1.01118
0.1, 0.0591046, 0.0583417, 1.01308
0.2, 0.0713369, 0.0703398, 1.01418
0.3, 0.0829801, 0.082665, 1.00381
0.4, 0.095241, 0.0951189, 1.00128
0.5, 0.111469, 0.110422, 1.00949
0.6, 0.135266, 0.132204, 1.02316
0.7, 0.168449, 0.164232, 1.02568
0.8, 0.211879, 0.208959, 1.01397
0.9, 0.26022, 0.262198, 0.992453
0.0001, -1.249e-16, 0, -inf
0.0002, -4.15784e-17, 0, -inf
0.0003, -2.392e-17, 0, -inf
0.0004, -1.37089e-17, 0, -inf
0.0005, -5.55851e-17, 0, -inf
0.0006, -3.71181e-17, 0, -inf
0.0007, -2.61633e-17, 0, -inf
0.0008, -5.46938e-17, 0, -inf
0.0009, -5.05004e-17, 0, -inf
0.001, -4.16334e-17, 0, -inf
0.002, -3.44254e-17, 0, -inf
0.003, -2.24915e-17, 0, -inf
0.004, -3.77717e-17, 0, -inf
0.005, -2.77193e-17, 0, -inf
0.006, -1.04354e-17, 0, -inf
0.007, -1.43358e-17, 0, -inf
