# mu value:
20.000000
# num_x_vals
36
# x, evolved, exact, ratio
0.08, 0.151881, 0.154281, 0.984441
0.09, 0.154403, 0.15719, 0.982271
0.1, 0.157446, 0.16055, 0.980665
0.2, 0.194335, 0.200627, 0.968639
0.3, 0.23484, 0.241961, 0.970569
0.4, 0.284566, 0.289989, 0.981299
0.5, 0.348934, 0.353339, 0.987533
0.6, 0.428104, 0.435506, 0.983003
0.7, 0.51353, 0.527698, 0.97315
0.8, 0.581282, 0.597093, 0.973519
0.9, 0.564804, 0.558093, 1.01202
0.0001, 1.01145, 1.00657, 1.00485
0.0002, 0.773376, 0.769545, 1.00498
0.0003, 0.657982, 0.654349, 1.00555
0.0004, 0.585382, 0.581795, 1.00617
0.0005, 0.533919, 0.530305, 1.00682
0.0006, 0.494809, 0.49114, 1.00747
0.0007, 0.463661, 0.45995, 1.00807
0.0008, 0.438055, 0.434288, 1.00867
0.0009, 0.416478, 0.412666, 1.00924
0.001, 0.397944, 0.39409, 1.00978
0.002, 0.29256, 0.288435, 1.0143
0.003, 0.242616, 0.238393, 1.01771
0.004, 0.211668, 0.207436, 1.0204
0.005, 0.189993, 0.18579, 1.02262
0.006, 0.173689, 0.169527, 1.02455
0.007, 0.16082, 0.156722, 1.02615
0.008, 0.150327, 0.146298, 1.02754
0.009, 0.141554, 0.13761, 1.02866
0.01, 0.134072, 0.130191, 1.02981
0.02, 0.0928117, 0.0896381, 1.0354
0.03, 0.07444, 0.0718568, 1.03595
0.04, 0.0637274, 0.0616324, 1.03399
0.05, 0.0566809, 0.0549918, 1.03072
0.06, 0.0517173, 0.050364, 1.02687
0.07, 0.0480592, 0.0469912, 1.02273
0.08, 0.0452855, 0.0444583, 1.01861
0.09, 0.0431289, 0.0425078, 1.01461
0.1, 0.0414503, 0.0409851, 1.01135
0.2, 0.0355423, 0.0357066, 0.995399
0.3, 0.0367602, 0.036791, 0.999162
0.4, 0.0415102, 0.0415272, 0.999592
0.5, 0.0498199, 0.0503223, 0.990015
0.6, 0.0619026, 0.0633008, 0.977912
0.7, 0.0770383, 0.0793527, 0.970834
0.8, 0.0924813, 0.0949523, 0.973977
0.9, 0.0988048, 0.100408, 0.984029
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
