# mu value:
10.000000
# num_x_vals
36
# x, evolved, exact, ratio
0.0001, 37.4533, 36.7015, 1.02048
0.0002, 29.3669, 28.6332, 1.02563
0.0003, 25.3734, 24.6881, 1.02776
0.0004, 22.8303, 22.1908, 1.02882
0.0005, 21.0112, 20.4108, 1.02942
0.0006, 19.6186, 19.0516, 1.02976
0.0007, 18.5026, 17.9653, 1.02991
0.0008, 17.5803, 17.0687, 1.02998
0.0009, 16.7995, 16.3109, 1.02995
0.001, 16.126, 15.6581, 1.02988
0.002, 12.2387, 11.9028, 1.02822
0.003, 10.3543, 10.0888, 1.02631
0.004, 9.16873, 8.94919, 1.02453
0.005, 8.32837, 8.14159, 1.02294
0.006, 7.68973, 7.52748, 1.02155
0.007, 7.18107, 7.03844, 1.02026
0.008, 6.76286, 6.63612, 1.0191
0.009, 6.41039, 6.2972, 1.01797
0.01, 6.10756, 6.00517, 1.01705
0.02, 4.38298, 4.33808, 1.01035
0.03, 3.56152, 3.5387, 1.00645
0.04, 3.04926, 3.03775, 1.00379
0.05, 2.68795, 2.68296, 1.00186
0.06, 2.41416, 2.41309, 1.00044
0.07, 2.1965, 2.19801, 0.999313
0.08, 2.01769, 2.02093, 0.9984
0.09, 1.86698, 1.87135, 0.997662
0.1, 1.7391, 1.74271, 0.997925
0.2, 1.00264, 1.00561, 0.997041
0.3, 0.653198, 0.654803, 0.997549
0.4, 0.442558, 0.441221, 1.00303
0.5, 0.301462, 0.297633, 1.01286
0.6, 0.201254, 0.196662, 1.02335
0.7, 0.127302, 0.124159, 1.02532
0.8, 0.0716103, 0.0710689, 1.00762
0.9, 0.0296348, 0.0304973, 0.971719
0.0001, 1.50169, 1.59964, 0.938768
0.0002, 1.20252, 1.25979, 0.954541
0.0003, 1.05281, 1.09236, 0.963794
0.0004, 0.956701, 0.986037, 0.970249
0.0005, 0.887545, 0.910137, 0.975177
0.0006, 0.834363, 0.852144, 0.979133
0.0007, 0.791592, 0.805793, 0.982376
0.0008, 0.756137, 0.767544, 0.985138
0.0009, 0.726044, 0.735233, 0.987502
0.001, 0.70003, 0.707415, 0.98956
0.002, 0.548933, 0.548148, 1.00143
0.003, 0.47524, 0.472158, 1.00653
0.004, 0.428867, 0.42504, 1.00901
0.005, 0.396077, 0.392081, 1.01019
0.006, 0.371261, 0.36734, 1.01067
0.007, 0.351598, 0.347886, 1.01067
0.008, 0.335531, 0.332082, 1.01039
0.009, 0.322079, 0.318938, 1.00985
0.01, 0.310604, 0.30774, 1.0093
0.02, 0.247807, 0.247296, 1.00207
0.03, 0.220775, 0.221537, 0.996559
0.04, 0.205708, 0.20711, 0.99323
0.05, 0.196288, 0.197967, 0.99152
0.06, 0.190006, 0.191741, 0.990954
0.07, 0.185636, 0.187305, 0.991089
0.08, 0.182518, 0.18405, 0.991675
0.09, 0.180245, 0.181603, 0.99252
0.1, 0.178599, 0.179743, 0.993633
0.2, 0.174164, 0.174423, 0.998513
0.3, 0.175088, 0.176985, 0.989284
0.4, 0.177923, 0.182606, 0.974354
0.5, 0.182503, 0.189667, 0.962228
0.6, 0.187206, 0.195301, 0.958549
0.7, 0.188049, 0.194218, 0.968241
0.8, 0.177867, 0.177477, 1.0022
0.9, 0.142276, 0.129458, 1.09901
0.0001, 1.49865, 1.60991, 0.930891
0.0002, 1.20175, 1.27884, 0.939718
0.0003, 1.05312, 1.11397, 0.945375
0.0004, 0.95769, 1.00857, 0.949554
0.0005, 0.889039, 0.93298, 0.952902
0.0006, 0.836262, 0.875022, 0.955704
0.0007, 0.793836, 0.828571, 0.958079
0.0008, 0.758685, 0.790156, 0.960171
0.0009, 0.728868, 0.757645, 0.962018
0.001, 0.703108, 0.729614, 0.963671
0.002, 0.554067, 0.568558, 0.974513
0.003, 0.482124, 0.491677, 0.980572
0.004, 0.437402, 0.444254, 0.984577
0.005, 0.406209, 0.411356, 0.987488
0.006, 0.382952, 0.38692, 0.989744
0.007, 0.364819, 0.36794, 0.991517
0.008, 0.350255, 0.352727, 0.992991
0.009, 0.338285, 0.340278, 0.994144
0.01, 0.328269, 0.329827, 0.995275
0.02, 0.279151, 0.278601, 1.00197
0.03, 0.264498, 0.262832, 1.00634
0.04, 0.260809, 0.258255, 1.00989
0.05, 0.261936, 0.258636, 1.01276
0.06, 0.265491, 0.261556, 1.01504
0.07, 0.270336, 0.265895, 1.0167
0.08, 0.275884, 0.271061, 1.01779
0.09, 0.281779, 0.276687, 1.0184
0.1, 0.287892, 0.282586, 1.01877
0.2, 0.344684, 0.3415, 1.00932
0.3, 0.394039, 0.395524, 0.996245
0.4, 0.44692, 0.453052, 0.986465
0.5, 0.508044, 0.520104, 0.976812
0.6, 0.571849, 0.592073, 0.965843
0.7, 0.62151, 0.647485, 0.959883
0.8, 0.626763, 0.640354, 0.978776
0.9, 0.529204, 0.487115, 1.0864
0.0001, 1.499, 1.60568, 0.93356
0.0002, 1.19755, 1.27855, 0.936648
0.0003, 1.04628, 1.11422, 0.939026
0.0004, 0.948933, 1.00849, 0.940945
0.0005, 0.878738, 0.932257, 0.942593
0.0006, 0.824649, 0.873523, 0.94405
0.0007, 0.781068, 0.826245, 0.945323
0.0008, 0.744876, 0.786986, 0.946493
0.0009, 0.714106, 0.753632, 0.947553
0.001, 0.687462, 0.724769, 0.948525
0.002, 0.531588, 0.55631, 0.955561
0.003, 0.454498, 0.473396, 0.96008
0.004, 0.405391, 0.42081, 0.963359
0.005, 0.370271, 0.383334, 0.965922
0.006, 0.343404, 0.354744, 0.968032
0.007, 0.321897, 0.331935, 0.96976
0.008, 0.304147, 0.313154, 0.971238
0.009, 0.289142, 0.297334, 0.972449
0.01, 0.276222, 0.283708, 0.973613
0.02, 0.202503, 0.20661, 0.980125
0.03, 0.16792, 0.17082, 0.983027
0.04, 0.147028, 0.149333, 0.984567
0.05, 0.132889, 0.134854, 0.985429
0.06, 0.122678, 0.124428, 0.985938
0.07, 0.114982, 0.116603, 0.986098
0.08, 0.109021, 0.110568, 0.986004
0.09, 0.104301, 0.105813, 0.985711
0.1, 0.100539, 0.102022, 0.985464
0.2, 0.0863243, 0.0883025, 0.977598
0.3, 0.0884666, 0.0904573, 0.977993
0.4, 0.0980837, 0.0991543, 0.989203
0.5, 0.113035, 0.113435, 0.996475
0.6, 0.130625, 0.132063, 0.989107
0.7, 0.145908, 0.149872, 0.97355
0.8, 0.150657, 0.154311, 0.976321
0.9, 0.129642, 0.120898, 1.07232
0.0001, 1.10337, 1.15948, 0.951611
0.0002, 0.865427, 0.901221, 0.960283
0.0003, 0.747583, 0.774101, 0.965744
0.0004, 0.672424, 0.693399, 0.969751
0.0005, 0.618605, 0.635797, 0.97296
0.0006, 0.577378, 0.591787, 0.975651
0.0007, 0.544327, 0.556612, 0.977929
0.0008, 0.517005, 0.527585, 0.979945
0.0009, 0.49387, 0.503064, 0.981725
0.001, 0.473914, 0.481952, 0.983322
0.002, 0.358868, 0.361087, 0.993855
0.003, 0.303396, 0.303477, 0.999732
0.004, 0.268773, 0.267833, 1.00351
0.005, 0.244466, 0.242981, 1.00611
0.006, 0.226195, 0.224402, 1.00799
0.007, 0.211817, 0.209865, 1.0093
0.008, 0.200148, 0.198121, 1.01023
0.009, 0.19045, 0.18842, 1.01077
0.01, 0.18224, 0.180208, 1.01128
0.02, 0.13912, 0.137767, 1.00983
0.03, 0.122761, 0.1221, 1.00541
0.04, 0.115284, 0.115172, 1.00097
0.05, 0.111941, 0.11228, 0.996983
0.06, 0.110848, 0.11157, 0.993526
0.07, 0.111084, 0.112162, 0.990384
0.08, 0.112158, 0.113582, 0.987463
0.09, 0.113762, 0.11553, 0.984691
0.1, 0.115772, 0.117843, 0.982427
0.2, 0.141594, 0.146795, 0.964571
0.3, 0.171173, 0.177847, 0.962469
0.4, 0.20885, 0.215055, 0.971148
0.5, 0.259144, 0.265257, 0.976952
0.6, 0.322517, 0.331366, 0.973296
0.7, 0.392707, 0.406529, 0.966
0.8, 0.450688, 0.464624, 0.970007
0.9, 0.441487, 0.437234, 1.00973
0.0001, 0.523921, 0.520288, 1.00698
0.0002, 0.40427, 0.400602, 1.00916
0.0003, 0.345795, 0.342095, 1.01081
0.0004, 0.308814, 0.305108, 1.01215
0.0005, 0.282497, 0.278786, 1.01331
0.0006, 0.262435, 0.258719, 1.01436
0.0007, 0.246415, 0.242708, 1.01528
0.0008, 0.233217, 0.229513, 1.01614
0.0009, 0.222073, 0.218379, 1.01692
0.001, 0.212484, 0.208801, 1.01764
0.002, 0.15763, 0.154072, 1.02309
0.003, 0.131398, 0.127969, 1.0268
0.004, 0.115051, 0.111745, 1.02958
0.005, 0.103552, 0.10036, 1.03181
0.006, 0.0948719, 0.0917805, 1.03368
0.007, 0.0880011, 0.0850073, 1.03522
0.008, 0.082385, 0.0794815, 1.03653
0.009, 0.0776785, 0.0748653, 1.03758
0.01, 0.0736566, 0.0709169, 1.03863
0.02, 0.0513177, 0.0491749, 1.04357
0.03, 0.0412549, 0.039522, 1.04385
0.04, 0.0353371, 0.0339182, 1.04183
0.05, 0.0314154, 0.0302488, 1.03857
0.06, 0.0286335, 0.0276727, 1.03472
0.07, 0.0265688, 0.0257823, 1.03051
0.08, 0.0249921, 0.0243531, 1.02624
0.09, 0.0237566, 0.0232454, 1.02199
0.1, 0.0227849, 0.0223747, 1.01833
