# mu values:
1.295000, 1.490000, 1.510000, 4.000000, 10.000000, 20.000000
# num_x_vals
36
# x, apfel++, lhapdf, ratio
0.01, 0.309131, 0.333877, 0.925883
0.02, 0.225323, 0.24064, 0.936346
0.03, 0.186569, 0.198168, 0.941471
0.04, 0.163434, 0.173019, 0.944602
0.05, 0.147951, 0.156267, 0.94678
0.06, 0.136893, 0.144329, 0.948479
0.07, 0.128652, 0.135456, 0.949773
0.08, 0.122342, 0.128676, 0.95077
0.09, 0.117397, 0.123383, 0.951492
0.1, 0.113539, 0.119204, 0.952479
0.2, 0.0994713, 0.104842, 0.94877
0.3, 0.101396, 0.10791, 0.939631
0.4, 0.109833, 0.117766, 0.932636
0.5, 0.1232, 0.133366, 0.923779
0.6, 0.14042, 0.153647, 0.913911
0.7, 0.158281, 0.173678, 0.911347
0.8, 0.172871, 0.180702, 0.956663
0.9, 0.176992, 0.147586, 1.19925
0.0001, 1.39738, 1.63653, 0.853871
0.0002, 1.08835, 1.26156, 0.862704
0.0003, 0.936355, 1.07825, 0.868404
0.0004, 0.839844, 0.962391, 0.872664
0.0005, 0.770966, 0.879972, 0.876125
0.0006, 0.718344, 0.817172, 0.879062
0.0007, 0.676254, 0.767093, 0.881581
0.0008, 0.641528, 0.725849, 0.883831
0.0009, 0.612176, 0.691068, 0.88584
0.001, 0.586895, 0.661171, 0.887661
0.002, 0.441993, 0.490978, 0.90023
0.003, 0.372755, 0.410565, 0.907907
0.004, 0.329821, 0.361111, 0.913351
0.005, 0.299842, 0.326792, 0.917531
0.006, 0.277416, 0.30124, 0.920914
0.007, 0.259847, 0.281319, 0.923674
0.008, 0.24565, 0.265277, 0.926012
0.009, 0.233898, 0.252067, 0.927921
0.01, 0.22399, 0.240914, 0.929748
0.02, 0.172928, 0.183946, 0.940099
0.03, 0.154541, 0.163467, 0.945395
0.04, 0.146844, 0.154733, 0.949019
0.05, 0.144055, 0.15136, 0.951736
0.06, 0.143892, 0.150854, 0.953851
0.07, 0.145251, 0.152038, 0.955364
0.08, 0.147541, 0.154281, 0.956315
0.09, 0.150381, 0.15719, 0.956684
0.1, 0.153706, 0.16055, 0.957374
0.2, 0.189432, 0.200627, 0.9442
0.3, 0.222599, 0.241961, 0.919978
0.4, 0.259492, 0.289989, 0.894836
0.5, 0.308062, 0.353339, 0.87186
0.6, 0.37496, 0.435506, 0.860975
0.7, 0.459393, 0.527698, 0.870561
0.8, 0.555961, 0.597093, 0.931113
0.9, 0.637036, 0.558093, 1.14145
0.0001, 0.909056, 1.00657, 0.90312
0.0002, 0.698301, 0.769545, 0.90742
0.0003, 0.595727, 0.654349, 0.910411
0.0004, 0.531023, 0.581795, 0.912732
0.0005, 0.485065, 0.530305, 0.914691
0.0006, 0.450084, 0.49114, 0.916407
0.0007, 0.422187, 0.45995, 0.917898
0.0008, 0.399227, 0.434288, 0.919268
0.0009, 0.379861, 0.412666, 0.920504
0.001, 0.36321, 0.39409, 0.921642
0.002, 0.268239, 0.288435, 0.929983
0.003, 0.223022, 0.238393, 0.935525
0.004, 0.194924, 0.207436, 0.939679
0.005, 0.175203, 0.18579, 0.943015
0.006, 0.160344, 0.169527, 0.94583
0.007, 0.148601, 0.156722, 0.948186
0.008, 0.139017, 0.146298, 0.950229
0.009, 0.130996, 0.13761, 0.951936
0.01, 0.12415, 0.130191, 0.953596
0.02, 0.086319, 0.0896381, 0.962973
0.03, 0.0694497, 0.0718568, 0.966501
0.04, 0.0596252, 0.0616324, 0.967434
0.05, 0.0531813, 0.0549918, 0.967075
0.06, 0.0486608, 0.050364, 0.966183
0.07, 0.0453469, 0.0469912, 0.965009
0.08, 0.0428503, 0.0444583, 0.963833
0.09, 0.0409179, 0.0425078, 0.962597
0.1, 0.039439, 0.0409851, 0.962275
0.2, 0.0342885, 0.0357066, 0.960286
0.3, 0.0350196, 0.036791, 0.951854
0.4, 0.0383064, 0.0415272, 0.922442
0.5, 0.044423, 0.0503223, 0.88277
0.6, 0.0542827, 0.0633008, 0.857536
0.7, 0.0682642, 0.0793527, 0.860263
0.8, 0.0863375, 0.0949523, 0.909272
0.9, 0.105941, 0.100408, 1.0551
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
