b
0.0001	-6.93889e-18	0	-inf
0.0002	-3.44582e-17	0	-inf
0.0003	-1.99461e-17	0	-inf
0.0004	-2.11218e-17	0	-inf
0.0005	-1.69781e-17	0	-inf
0.0006	-2.86131e-17	0	-inf
0.0007	-2.5273e-17	0	-inf
0.0008	-1.06808e-17	0	-inf
0.0009	-1.86002e-17	0	-inf
0.001	-2.42861e-17	0	-inf
0.002	-9.06837e-19	0	-inf
0.003	-1.31967e-17	0	-inf
0.004	-1.78177e-17	0	-inf
0.005	-1.39399e-17	0	-inf
0.006	-1.33088e-17	0	-inf
0.007	-2.20885e-17	0	-inf
0.008	-1.1599e-18	0	-inf
0.009	-1.24636e-17	0	-inf
0.01	-1.21431e-17	0	-inf
0.02	-7.32639e-18	0	-inf
0.03	-3.23335e-18	0	-inf
0.04	-5.3033e-18	0	-inf
0.05	-3.42841e-18	0	-inf
0.06	-1.78971e-17	0	-inf
0.07	-3.50599e-18	0	-inf
0.08	-8.575e-18	0	-inf
0.09	-2.27639e-18	0	-inf
0.1	-1.38778e-17	0	-inf
0.2	-1.82927e-17	0	-inf
0.3	-2.82971e-18	0	-inf
0.4	-2.59847e-18	0	-inf
0.5	-3.47261e-18	0	-inf
0.6	3.22101e-18	0	inf
0.7	-4.84888e-18	0	-inf
0.8	-3.36948e-18	0	-inf
0.9	-1.61574e-17	0	-inf
