# mu value:
4.000000
# num_x_vals
36
# x, INITIALPDFS_SAL5, SAL, ratio, DeltaPDFs
0.2, -9.36073e-18, -7.5225e-18, 1.24436, 1.17206e-17
0.3, -6.85842e-18, -7.4305e-18, 0.923009, 1.07338e-17
0.4, -1.3491e-17, -4.70032e-18, 2.87023, 1.08521e-17
0.5, -2.29897e-17, -9.43299e-18, 2.43716, 2.0521e-17
0.6, -2.34321e-17, -3.21246e-17, 0.729411, 2.53611e-17
0.7, -2.75612e-17, -2.21475e-17, 1.24444, 1.82961e-17
0.8, -4.5456e-18, -1.02291e-17, 0.44438, 2.69986e-17
0.9, -2.2004e-17, -9.66108e-18, 2.27759, 2.37572e-17
0.0001, 0, 0, -nan, 0
0.0002, 0, 0, -nan, 0
0.0003, 0, 0, -nan, 0
0.0004, 0, 0, -nan, 0
0.0005, 0, 0, -nan, 0
0.0006, 0, 0, -nan, 0
0.0007, 0, 0, -nan, 0
0.0008, 0, 0, -nan, 0
0.0009, 0, 0, -nan, 0
0.001, 0, 0, -nan, 0
0.002, 0, 0, -nan, 0
0.003, 0, 0, -nan, 0
0.004, 0, 0, -nan, 0
0.005, 0, 0, -nan, 0
0.006, 0, 0, -nan, 0
0.007, 0, 0, -nan, 0
0.008, 0, 0, -nan, 0
0.009, 0, 0, -nan, 0
0.01, 0, 0, -nan, 0
0.02, 0, 0, -nan, 0
0.03, 0, 0, -nan, 0
0.04, 0, 0, -nan, 0
0.05, 0, 0, -nan, 0
0.06, 0, 0, -nan, 0
0.07, 0, 0, -nan, 0
0.08, 0, 0, -nan, 0
0.09, 0, 0, -nan, 0
0.1, 0, 0, -nan, 0
0.2, 0, 0, -nan, 0
0.3, 0, 0, -nan, 0
0.4, 0, 0, -nan, 0
0.5, 0, 0, -nan, 0
0.6, 0, 0, -nan, 0
0.7, 0, 0, -nan, 0
0.8, 0, 0, -nan, 0
0.9, 0, 0, -nan, 0
