# mu values:
1.414214
# num_x_vals
36
# x, GRVEvolved, GRVExact, SAL, SAL3Evolved, SAL5Evolved
0.008, 0.150362, 0.149224, 0.031922, 0.129381, 0.0388705
0.009, 0.147262, 0.146143, 0.0342762, 0.133136, 0.0410294
0.01, 0.144687, 0.143579, 0.0365267, 0.13659, 0.0431163
0.02, 0.133225, 0.13218, 0.0553717, 0.161497, 0.0611481
0.03, 0.131603, 0.130576, 0.0703848, 0.177672, 0.0758974
0.04, 0.133174, 0.132153, 0.0832115, 0.189665, 0.0886275
0.05, 0.136141, 0.135127, 0.0945262, 0.199104, 0.0999123
0.06, 0.139787, 0.138784, 0.10469, 0.206783, 0.110074
0.07, 0.143764, 0.142785, 0.113925, 0.21316, 0.11932
0.08, 0.147901, 0.146951, 0.122382, 0.21852, 0.12779
0.09, 0.152078, 0.151164, 0.130169, 0.223061, 0.135588
0.1, 0.156241, 0.155368, 0.137367, 0.226922, 0.142794
0.2, 0.192796, 0.192535, 0.186526, 0.243051, 0.191791
0.3, 0.221507, 0.221853, 0.208669, 0.237705, 0.213803
0.4, 0.250109, 0.250914, 0.213449, 0.221683, 0.219217
0.5, 0.284295, 0.285637, 0.205511, 0.199294, 0.213194
0.6, 0.32192, 0.324126, 0.187501, 0.172714, 0.198611
0.7, 0.34825, 0.3514, 0.160883, 0.142908, 0.176716
0.8, 0.332644, 0.33549, 0.126152, 0.109531, 0.146884
0.9, 0.229031, 0.228291, 0.0824043, 0.0689114, 0.104006
0.0001, 0.41689, 0.416597, 0.000677352, 0.0251604, 0.0259668
0.0002, 0.351711, 0.351027, 0.00102806, 0.0256606, 0.0215103
0.0003, 0.317369, 0.316524, 0.00131248, 0.0262585, 0.0193903
0.0004, 0.294576, 0.293649, 0.00156097, 0.0268281, 0.0180916
0.0005, 0.277756, 0.27678, 0.00178577, 0.0273571, 0.0171995
0.0006, 0.264555, 0.263544, 0.00199334, 0.027848, 0.0165452
0.0007, 0.253756, 0.252725, 0.00218762, 0.0283056, 0.0160439
0.0008, 0.244667, 0.243622, 0.00237119, 0.0287343, 0.0156488
0.0009, 0.23685, 0.235796, 0.0025459, 0.029138, 0.0153307
0.001, 0.230012, 0.228952, 0.00271308, 0.0295199, 0.0150703
0.002, 0.188515, 0.187465, 0.00412367, 0.0325497, 0.0139596
0.003, 0.166868, 0.165857, 0.00526853, 0.0347711, 0.013839
0.004, 0.152595, 0.151628, 0.00626871, 0.0365661, 0.0140238
0.005, 0.142117, 0.141189, 0.0071731, 0.03809, 0.0143395
0.006, 0.133928, 0.133033, 0.00800755, 0.0394235, 0.0147199
0.007, 0.127253, 0.126391, 0.00878774, 0.0406147, 0.0151342
0.008, 0.121657, 0.120823, 0.0095241, 0.0416943, 0.0155666
0.009, 0.11686, 0.116054, 0.010224, 0.0426839, 0.0160081
0.01, 0.112671, 0.111889, 0.0108928, 0.043599, 0.0164533
0.02, 0.0875971, 0.086977, 0.0164849, 0.0503141, 0.0207448
0.03, 0.0748655, 0.0743374, 0.0209312, 0.0547565, 0.02456
0.04, 0.0667061, 0.0662405, 0.0247251, 0.0580793, 0.0279605
0.05, 0.0609008, 0.060481, 0.0280688, 0.0607076, 0.0310281
0.06, 0.0565171, 0.0561312, 0.0310704, 0.062852, 0.0338213
0.07, 0.0530738, 0.05272, 0.0337965, 0.0646356, 0.0363823
0.08, 0.0503033, 0.0499761, 0.0362921, 0.0661358, 0.038742
0.09, 0.0480284, 0.0477257, 0.0385894, 0.067406, 0.0409237
0.1, 0.0461386, 0.0458584, 0.0407125, 0.0684852, 0.0429472
0.2, 0.0377329, 0.0376386, 0.0552137, 0.0728756, 0.0568317
0.3, 0.0374213, 0.0374419, 0.0617442, 0.0710593, 0.0630671
0.4, 0.0414083, 0.0414677, 0.063117, 0.0660873, 0.0644466
0.5, 0.0492627, 0.0493841, 0.060671, 0.0591855, 0.0623836
0.6, 0.0598912, 0.0602272, 0.0551688, 0.0509807, 0.0576809
0.7, 0.0694819, 0.0701684, 0.0470437, 0.041769, 0.0507125
0.8, 0.0701071, 0.070887, 0.0364657, 0.0315047, 0.0413747
0.9, 0.0497276, 0.0495975, 0.0232453, 0.0193094, 0.0284426
0.0001, 0.0483263, 0.0, 0.0, 0.0136604, 0.0252621
0.0002, 0.0399276, 0.0, 0.0, 0.0117789, 0.0204431
0.0003, 0.035562, 0.0, 0.0, 0.0107627, 0.0180301
0.0004, 0.0326902, 0.0, 0.0, 0.0100757, 0.016476
0.0005, 0.0305856, 0.0, 0.0, 0.00956121, 0.0153534
0.0006, 0.0289431, 0.0, 0.0, 0.0091523, 0.0144866
0.0007, 0.0276058, 0.0, 0.0, 0.00881419, 0.0137866
0.0008, 0.0264853, 0.0, 0.0, 0.00852701, 0.0132041
0.0009, 0.0255252, 0.0, 0.0, 0.00827797, 0.0127078
0.001, 0.0246882, 0.0, 0.0, 0.00805852, 0.0122772
0.002, 0.0196773, 0.0, 0.0, 0.00669379, 0.0097375
0.003, 0.0171213, 0.0, 0.0, 0.00596089, 0.00846596
0.004, 0.0154653, 0.0, 0.0, 0.00547288, 0.00765101
0.005, 0.0142685, 0.0, 0.0, 0.00511475, 0.00706709
0.006, 0.0133469, 0.0, 0.0, 0.00483681, 0.00662095
0.007, 0.0126061, 0.0, 0.0, 0.00461295, 0.00626518
0.008, 0.0119933, 0.0, 0.0, 0.00442815, 0.00597328
0.009, 0.011475, 0.0, 0.0, 0.0042727, 0.00572847
0.01, 0.0110289, 0.0, 0.0, 0.00414005, 0.00551966
0.02, 0.00852109, 0.0, 0.0, 0.00345241, 0.00440686
0.03, 0.00741786, 0.0, 0.0, 0.003243, 0.00399666
0.04, 0.00681278, 0.0, 0.0, 0.00320769, 0.00383487
0.05, 0.00645194, 0.0, 0.0, 0.00325612, 0.00379294
0.06, 0.0062306, 0.0, 0.0, 0.00334986, 0.00381746
0.07, 0.00609598, 0.0, 0.0, 0.00346932, 0.00388146
0.08, 0.00601907, 0.0, 0.0, 0.00360378, 0.00397017
0.09, 0.00598137, 0.0, 0.0, 0.00374649, 0.00407416
0.1, 0.00597278, 0.0, 0.0, 0.00389403, 0.00418878
0.2, 0.00652187, 0.0, 0.0, 0.00536617, 0.00548279
0.3, 0.00764478, 0.0, 0.0, 0.00694639, 0.00699534
0.4, 0.00955601, 0.0, 0.0, 0.00913653, 0.00915633
0.5, 0.0125956, 0.0, 0.0, 0.0123581, 0.0123653
0.6, 0.0168924, 0.0, 0.0, 0.0167735, 0.0167757
0.7, 0.0221508, 0.0, 0.0, 0.0221041, 0.0221046
0.8, 0.0271109, 0.0, 0.0, 0.0271009, 0.0271009
0.9, 0.0272803, 0.0, 0.0, 0.0272813, 0.0272813
0.0001, 1.38778e-17, 0.0, 0.0, -5.20417e-18, -4.33681e-18
0.0002, -7.05944e-18, 0.0, 0.0, -3.38563e-18, -1.72409e-18
0.0003, -1.02927e-17, 0.0, 0.0, 1.34347e-18, 6.1718e-19
0.0004, -1.80229e-17, 0.0, 0.0, -5.02627e-18, -1.53284e-19
0.0005, -2.78315e-17, 0.0, 0.0, -8.29941e-19, -8.63956e-19
0.0006, -3.69267e-17, 0.0, 0.0, -6.9882e-18, -2.42719e-18
0.0007, -1.08286e-17, 0.0, 0.0, -3.45087e-18, -2.21581e-18
0.0008, -2.07194e-17, 0.0, 0.0, -6.17747e-18, -1.74445e-18
0.0009, -2.66342e-17, 0.0, 0.0, -5.74537e-18, -1.65114e-18
0.001, -2.77556e-17, 0.0, 0.0, -4.33681e-18, -1.73472e-18
0.002, -7.20549e-18, 0.0, 0.0, -1.79445e-18, -2.1722e-18
0.003, -1.51729e-17, 0.0, 0.0, -4.16654e-18, -9.25656e-19
0.004, -9.81975e-18, 0.0, 0.0, -5.52976e-18, -4.62678e-19
0.005, -1.72312e-17, 0.0, 0.0, -5.29655e-18, -2.157e-18
0.006, -9.20658e-18, 0.0, 0.0, -6.35916e-18, -6.13889e-19
0.007, -4.14247e-18, 0.0, 0.0, -3.29981e-18, -2.02107e-18
0.008, -2.07669e-17, 0.0, 0.0, -8.75036e-18, -2.95605e-18
0.009, -1.64842e-17, 0.0, 0.0, -1.11666e-17, -1.49594e-18
0.01, -1.21431e-17, 0.0, 0.0, -1.04083e-17, -1.30104e-18
0.02, -2.25948e-18, 0.0, 0.0, -9.11197e-18, -2.67217e-18
0.03, -1.15359e-17, 0.0, 0.0, -1.87155e-18, -8.06619e-19
0.04, 1.37169e-19, 0.0, 0.0, -2.04254e-17, -4.29284e-18
0.05, -5.06351e-18, 0.0, 0.0, -1.56889e-17, -1.03893e-17
0.06, -2.46906e-18, 0.0, 0.0, -9.05165e-18, -5.83708e-18
0.07, -9.93151e-18, 0.0, 0.0, -1.70046e-17, -6.82412e-18
