# mu value:
1.414214
# numXVals
36
# x, SAL, SAL3HO, SAL5HO, GRVHO
0.0001, 0.0851615, 0.0251604, 0.0259668, 0.416597
0.0002, 0.0762686, 0.0256606, 0.0215103, 0.351027
0.0003, 0.0715262, 0.0262585, 0.0193903, 0.316524
0.0004, 0.0683577, 0.0268281, 0.0180916, 0.293649
0.0005, 0.0660098, 0.0273571, 0.0171995, 0.27678
0.0006, 0.064162, 0.027848, 0.0165452, 0.263544
0.0007, 0.062649, 0.0283056, 0.0160439, 0.252725
0.0008, 0.0613751, 0.0287343, 0.0156488, 0.243622
0.0009, 0.0602797, 0.029138, 0.0153307, 0.235796
0.001, 0.0593227, 0.0295199, 0.0150703, 0.228952
0.002, 0.053583, 0.0325497, 0.0139596, 0.187465
0.003, 0.0507143, 0.0347711, 0.013839, 0.165857
0.004, 0.0489327, 0.0365661, 0.0140238, 0.151628
0.005, 0.0477166, 0.03809, 0.0143395, 0.141189
0.006, 0.0468439, 0.0394235, 0.0147199, 0.133033
0.007, 0.0462, 0.0406147, 0.0151342, 0.126391
0.008, 0.0457186, 0.0416943, 0.0155666, 0.120823
0.009, 0.0453578, 0.0426839, 0.0160081, 0.116054
0.01, 0.0450896, 0.043599, 0.0164533, 0.111889
0.02, 0.0448852, 0.0503141, 0.0207448, 0.086977
0.03, 0.0463545, 0.0547565, 0.02456, 0.0743374
0.04, 0.0482757, 0.0580793, 0.0279605, 0.0662405
0.05, 0.0503041, 0.0607076, 0.0310281, 0.060481
0.06, 0.0523028, 0.062852, 0.0338213, 0.0561312
0.07, 0.0542093, 0.0646356, 0.0363823, 0.05272
0.08, 0.0559934, 0.0661358, 0.038742, 0.0499761
0.09, 0.0576417, 0.067406, 0.0409237, 0.0477257
0.1, 0.0591493, 0.0684852, 0.0429472, 0.0458584
0.2, 0.0674049, 0.0728756, 0.0568317, 0.0376386
0.3, 0.0678309, 0.0710593, 0.0630671, 0.0374419
0.4, 0.0657376, 0.0660873, 0.0644466, 0.0414677
0.5, 0.0642437, 0.0591855, 0.0623836, 0.0493841
0.6, 0.0647464, 0.0509807, 0.0576809, 0.0602272
0.7, 0.0672556, 0.041769, 0.0507125, 0.0701684
0.8, 0.0703262, 0.0315047, 0.0413747, 0.070887
0.9, 0.0698726, 0.0193094, 0.0284426, 0.0495975
0.0001, 0.0, 0.0136604, 0.0252621, 0.0
0.0002, 0.0, 0.0117789, 0.0204431, 0.0
0.0003, 0.0, 0.0107627, 0.0180301, 0.0
0.0004, 0.0, 0.0100757, 0.016476, 0.0
0.0005, 0.0, 0.00956121, 0.0153534, 0.0
0.0006, 0.0, 0.0091523, 0.0144866, 0.0
0.0007, 0.0, 0.00881419, 0.0137866, 0.0
0.0008, 0.0, 0.00852701, 0.0132041, 0.0
0.0009, 0.0, 0.00827797, 0.0127078, 0.0
0.001, 0.0, 0.00805852, 0.0122772, 0.0
0.002, 0.0, 0.00669379, 0.0097375, 0.0
0.003, 0.0, 0.00596089, 0.00846596, 0.0
0.004, 0.0, 0.00547288, 0.00765101, 0.0
0.005, 0.0, 0.00511475, 0.00706709, 0.0
0.006, 0.0, 0.00483681, 0.00662095, 0.0
0.007, 0.0, 0.00461295, 0.00626518, 0.0
0.008, 0.0, 0.00442815, 0.00597328, 0.0
0.009, 0.0, 0.0042727, 0.00572847, 0.0
0.01, 0.0, 0.00414005, 0.00551966, 0.0
0.02, 0.0, 0.00345241, 0.00440686, 0.0
0.03, 0.0, 0.003243, 0.00399666, 0.0
0.04, 0.0, 0.00320769, 0.00383487, 0.0
0.05, 0.0, 0.00325612, 0.00379294, 0.0
0.06, 0.0, 0.00334986, 0.00381746, 0.0
0.07, 0.0, 0.00346932, 0.00388146, 0.0
0.08, 0.0, 0.00360378, 0.00397017, 0.0
0.09, 0.0, 0.00374649, 0.00407416, 0.0
0.1, 0.0, 0.00389403, 0.00418878, 0.0
0.2, 0.0, 0.00536617, 0.00548279, 0.0
0.3, 0.0, 0.00694639, 0.00699534, 0.0
0.4, 0.0, 0.00913653, 0.00915633, 0.0
0.5, 0.0, 0.0123581, 0.0123653, 0.0
0.6, 0.0, 0.0167735, 0.0167757, 0.0
0.7, 0.0, 0.0221041, 0.0221046, 0.0
0.8, 0.0, 0.0271009, 0.0271009, 0.0
0.9, 0.0, 0.0272813, 0.0272813, 0.0
0.0001, 0.0, -5.20417e-18, -4.33681e-18, 0.0
0.0002, 0.0, -3.38563e-18, -1.72409e-18, 0.0
0.0003, 0.0, 1.34347e-18, 6.1718e-19, 0.0
0.0004, 0.0, -5.02627e-18, -1.53284e-19, 0.0
0.0005, 0.0, -8.29941e-19, -8.63956e-19, 0.0
0.0006, 0.0, -6.9882e-18, -2.42719e-18, 0.0
0.0007, 0.0, -3.45087e-18, -2.21581e-18, 0.0
0.0008, 0.0, -6.17747e-18, -1.74445e-18, 0.0
0.0009, 0.0, -5.74537e-18, -1.65114e-18, 0.0
0.001, 0.0, -4.33681e-18, -1.73472e-18, 0.0
0.002, 0.0, -1.79445e-18, -2.1722e-18, 0.0
0.003, 0.0, -4.16654e-18, -9.25656e-19, 0.0
0.004, 0.0, -5.52976e-18, -4.62678e-19, 0.0
0.005, 0.0, -5.29655e-18, -2.157e-18, 0.0
0.006, 0.0, -6.35916e-18, -6.13889e-19, 0.0
0.007, 0.0, -3.29981e-18, -2.02107e-18, 0.0
0.008, 0.0, -8.75036e-18, -2.95605e-18, 0.0
0.009, 0.0, -1.11666e-17, -1.49594e-18, 0.0
0.01, 0.0, -1.04083e-17, -1.30104e-18, 0.0
0.02, 0.0, -9.11197e-18, -2.67217e-18, 0.0
0.03, 0.0, -1.87155e-18, -8.06619e-19, 0.0
0.04, 0.0, -2.04254e-17, -4.29284e-18, 0.0
0.05, 0.0, -1.56889e-17, -1.03893e-17, 0.0
0.06, 0.0, -9.05165e-18, -5.83708e-18, 0.0
0.07, 0.0, -1.70046e-17, -6.82412e-18, 0.0
0.08, 0.0, -1.73451e-17, -6.46542e-18, 0.0
0.09, 0.0, -1.42297e-17, -4.70831e-18, 0.0
0.1, 0.0, -6.93889e-18, -5.20417e-18, 0.0
0.2, 0.0, -7.51754e-18, -6.94011e-18, 0.0
0.3, 0.0, -1.2025e-17, -2.33817e-18, 0.0
0.4, 0.0, -5.80755e-18, -9.67409e-18, 0.0
0.5, 0.0, -5.03102e-18, -1.39765e-17, 0.0
0.6, 0.0, -1.41322e-17, -1.73592e-17, 0.0
0.7, 0.0, -6.89516e-18, -1.18446e-17, 0.0
0.8, 0.0, -4.60905e-18, -5.1268e-19, 0.0
0.9, 0.0, -7.78578e-18, -8.08324e-18, 0.0
