# mu value:
1.414214
# numXVals
36
# x, SAL, SAL3LO, SAL5LO, GRVLO
0.0001, 0.0851615, 0.0247433, 0.00810638, 0.251511
0.0002, 0.0762686, 0.0247796, 0.00733694, 0.211306
0.0003, 0.0715262, 0.0252588, 0.00699444, 0.190337
0.0004, 0.0683577, 0.0257969, 0.00680549, 0.176525
0.0005, 0.0660098, 0.0263262, 0.00669313, 0.166393
0.0006, 0.064162, 0.026831, 0.00662555, 0.15848
0.0007, 0.062649, 0.0273085, 0.00658664, 0.152038
0.0008, 0.0613751, 0.0277598, 0.00656748, 0.146638
0.0009, 0.0602797, 0.0281869, 0.00656248, 0.142012
0.001, 0.0593227, 0.0285921, 0.00656798, 0.13798
0.002, 0.053583, 0.0318106, 0.0068801, 0.113856
0.003, 0.0507143, 0.0341478, 0.00733941, 0.101572
0.004, 0.0489327, 0.0360153, 0.00782587, 0.0936248
0.005, 0.0477166, 0.0375854, 0.00831316, 0.0878817
0.006, 0.0468439, 0.0389477, 0.00879327, 0.0834544
0.007, 0.0462, 0.0401558, 0.0092636, 0.0798926
0.008, 0.0457186, 0.0412436, 0.0097235, 0.0769394
0.009, 0.0453578, 0.0422349, 0.0101731, 0.0744373
0.01, 0.0450896, 0.0431468, 0.0106127, 0.0722715
0.02, 0.0448852, 0.0497055, 0.014569, 0.0598049
0.03, 0.0463545, 0.0539244, 0.0179608, 0.0538558
0.04, 0.0482757, 0.0570202, 0.0209747, 0.0501939
0.05, 0.0503041, 0.0594313, 0.0237051, 0.0476557
0.06, 0.0523028, 0.0613722, 0.0262074, 0.0457673
0.07, 0.0542093, 0.0629661, 0.0285185, 0.0442947
0.08, 0.0559934, 0.06429, 0.0306642, 0.0431074
0.09, 0.0576417, 0.0653966, 0.0326634, 0.0421239
0.1, 0.0591493, 0.0663235, 0.0345316, 0.0412937
0.2, 0.0674049, 0.069659, 0.0478569, 0.0368804
0.3, 0.0678309, 0.0672912, 0.0544943, 0.0352599
0.4, 0.0657376, 0.0619957, 0.0567061, 0.0351314
0.5, 0.0642437, 0.0548813, 0.055739, 0.0365486
0.6, 0.0647464, 0.0465698, 0.0524, 0.0398003
0.7, 0.0672556, 0.0374776, 0.0471902, 0.0451084
0.8, 0.0703262, 0.0279268, 0.0403291, 0.0522873
0.9, 0.0698726, 0.0181902, 0.0315244, 0.0596242
0.0001, 0.0, 0.0112606, 0.00774091, 0.0
0.0002, 0.0, 0.00881475, 0.00676088, 0.0
0.0003, 0.0, 0.00763683, 0.0062427, 0.0
0.0004, 0.0, 0.00689688, 0.00589749, 0.0
0.0005, 0.0, 0.00637237, 0.00564191, 0.0
0.0006, 0.0, 0.00597353, 0.0054407, 0.0
0.0007, 0.0, 0.00565563, 0.00527564, 0.0
0.0008, 0.0, 0.00539406, 0.00513642, 0.0
0.0009, 0.0, 0.00517346, 0.00501643, 0.0
0.001, 0.0, 0.00498382, 0.00491127, 0.0
0.002, 0.0, 0.00390361, 0.00427006, 0.0
0.003, 0.0, 0.00339354, 0.00393561, 0.0
0.004, 0.0, 0.00308167, 0.00371746, 0.0
0.005, 0.0, 0.00286781, 0.00356024, 0.0
0.006, 0.0, 0.0027114, 0.00344036, 0.0
0.007, 0.0, 0.00259214, 0.00334554, 0.0
0.008, 0.0, 0.00249883, 0.00326877, 0.0
0.009, 0.0, 0.00242444, 0.00320555, 0.0
0.01, 0.0, 0.00236439, 0.00315285, 0.0
0.02, 0.0, 0.00214312, 0.0029216, 0.0
0.03, 0.0, 0.00218469, 0.00291453, 0.0
0.04, 0.0, 0.00231264, 0.00299105, 0.0
0.05, 0.0, 0.00247847, 0.00310833, 0.0
0.06, 0.0, 0.00266236, 0.00324758, 0.0
0.07, 0.0, 0.00285443, 0.00339882, 0.0
0.08, 0.0, 0.00304932, 0.00355639, 0.0
0.09, 0.0, 0.00324369, 0.00371656, 0.0
0.1, 0.0, 0.00343581, 0.00387726, 0.0
0.2, 0.0, 0.00509732, 0.00532617, 0.0
0.3, 0.0, 0.00634877, 0.0064675, 0.0
0.4, 0.0, 0.00751761, 0.00757625, 0.0
0.5, 0.0, 0.00899786, 0.00902429, 0.0
0.6, 0.0, 0.0111984, 0.0112087, 0.0
0.7, 0.0, 0.0145138, 0.0145169, 0.0
0.8, 0.0, 0.0193318, 0.0193324, 0.0
0.9, 0.0, 0.0259707, 0.0259708, 0.0
0.0001, 0.0, -5.87363e-32, -4.33681e-19, 0.0
0.0002, 0.0, -2.87417e-18, -4.76619e-19, 0.0
0.0003, 0.0, 2.94577e-18, -1.03223e-18, 0.0
0.0004, 0.0, 2.49656e-19, -4.44404e-19, 0.0
0.0005, 0.0, -6.90437e-18, -2.11764e-19, 0.0
0.0006, 0.0, -4.95234e-18, -5.45168e-19, 0.0
0.0007, 0.0, -2.66974e-18, -2.14554e-19, 0.0
0.0008, 0.0, -4.08723e-18, -4.50571e-19, 0.0
0.0009, 0.0, -7.19785e-18, -6.8908e-19, 0.0
0.001, 0.0, -4.33681e-18, -6.50521e-19, 0.0
0.002, 0.0, -2.11257e-18, -2.30047e-20, 0.0
0.003, 0.0, -7.35035e-18, 1.73367e-19, 0.0
0.004, 0.0, -6.55532e-18, -2.73571e-19, 0.0
0.005, 0.0, -3.39571e-18, -1.73377e-18, 0.0
0.006, 0.0, -3.35733e-18, -1.54805e-18, 0.0
0.007, 0.0, -8.55941e-18, -4.38392e-19, 0.0
0.008, 0.0, -6.64918e-18, -8.07098e-19, 0.0
0.009, 0.0, -8.10474e-18, -4.57493e-19, 0.0
0.01, 0.0, -1.04083e-17, -8.67362e-19, 0.0
0.02, 0.0, -8.41931e-18, -2.898e-18, 0.0
0.03, 0.0, -1.21294e-17, -1.9873e-18, 0.0
0.04, 0.0, -1.62166e-17, -4.5926e-18, 0.0
0.05, 0.0, 8.889e-20, -1.77528e-20, 0.0
0.06, 0.0, 8.43639e-19, -5.60599e-18, 0.0
0.07, 0.0, -1.04072e-17, -1.07213e-17, 0.0
0.08, 0.0, -3.2965e-18, -4.80974e-18, 0.0
0.09, 0.0, -4.6411e-18, -5.61956e-18, 0.0
0.1, 0.0, -6.93889e-18, -3.46945e-18, 0.0
0.2, 0.0, -5.36494e-18, -5.55324e-18, 0.0
0.3, 0.0, -1.17828e-17, -9.12498e-18, 0.0
0.4, 0.0, -1.02029e-17, -6.70644e-18, 0.0
0.5, 0.0, -1.37321e-17, -4.88531e-18, 0.0
0.6, 0.0, 4.51238e-19, -5.54341e-18, 0.0
0.7, 0.0, -7.88672e-18, -6.75824e-18, 0.0
0.8, 0.0, -6.81248e-18, -1.06961e-17, 0.0
0.9, 0.0, -4.69501e-18, -9.23203e-18, 0.0
